videoFile,condition,video,speaker,callSign,colour,number,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,instrExpText.started,key_resp_3.started,participant,order,date,expName,psychopyVersion,frameRate,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,noVideo,sp01,Ad,We,4,0,0,0,0,10.781849899998633,10.781849899998633,11.76533389999895,12.766179900001589,12.766179900001589,12.766179900001589,12.766179900001589,12.766179900001589,12.766179900001589,12.766179900001589,12.766179900001589,12.766179900001589,12.766179900001589,12.766179900001589,12.766179900001589,12.766179900001589,1.0636120999988634,1.781320300000516,2.280768900000112,14.585192499998811,[-0.4166666666666667],[-0.027777777777777776],[1],[0],[0],[1.733758399997896],['call3'],[-0.05486111111111111],[0.14166666666666666],[1],[0],[0],[2.2329554999996617],['colour2'],[0.40069444444444446],[-0.07083333333333333],[1],[0],[0],[2.783197500000824],['number3'],False,False,False,,,,,2023-01-17_15h22.06.869,MA_Theta_Exp,2022.2.1,59.960234372539105,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,noVideo,sp07,Ad,Ge,3,0,1,1,1,,,14.60216969999965,15.601946599999792,15.601946599999792,15.601946599999792,15.601946599999792,15.601946599999792,15.601946599999792,15.601946599999792,15.601946599999792,15.601946599999792,15.601946599999792,15.601946599999792,15.601946599999792,15.601946599999792,1.0560011000015948,2.824198600003001,3.3240605000028154,18.45532119999916,[-0.34444444444444444],[-0.13055555555555556],[1],[0],[0],[2.786610400002246],['call3'],[-0.07847222222222222],[0.23472222222222222],[1],[0],[0],[3.2865643999975873],['colour1'],[0.41458333333333336],[0.059722222222222225],[1],[0],[0],[3.819944700000633],['number2'],False,True,False,,,,,2023-01-17_15h22.06.869,MA_Theta_Exp,2022.2.1,59.960234372539105,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,plusVideo,sp01,Dr,Ro,3,0,2,2,2,,,18.471443200000067,19.47176820000095,19.47176820000095,19.47176820000095,19.47176820000095,19.47176820000095,19.47176820000095,19.47176820000095,19.47176820000095,19.47176820000095,19.47176820000095,19.47176820000095,19.47176820000095,19.47176820000095,1.0559219999995548,1.7725241000007372,2.1730483999999706,21.056839599998057,[-0.37083333333333335],[-0.09027777777777778],[1],[0],[0],[1.733976999999868],['call3'],[-0.013888888888888888],[0.06458333333333334],[1],[0],[0],[2.1344322999975702],['colour2'],[0.4409722222222222],[-0.12361111111111112],[1],[0],[0],[2.5513242999986687],['number3'],False,False,True,,,,,2023-01-17_15h22.06.869,MA_Theta_Exp,2022.2.1,59.960234372539105,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,plusVideo,sp07,Dr,Gr,4,0,3,3,3,,,21.074040100000275,22.074119100001553,22.074119100001553,22.074119100001553,22.074119100001553,22.074119100001553,22.074119100001553,22.074119100001553,22.074119100001553,22.074119100001553,22.074119100001553,22.074119100001553,22.074119100001553,22.074119100001553,1.0544942999986233,1.5212933000002522,2.0716815999985556,23.459451499998977,[-0.43819444444444444],[0.08194444444444444],[1],[0],[0],[1.4822261000008439],['call2'],[0.04861111111111111],[-0.09375],[1],[0],[0],[2.032201800000621],['colour3'],[0.46597222222222223],[0.08472222222222223],[1],[0],[0],[2.349410999999236],['number2'],True,False,False,,,,,2023-01-17_15h22.06.869,MA_Theta_Exp,2022.2.1,59.960234372539105,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,noVideo,sp01,Ti,Gr,2,0,4,4,4,,,23.47620960000131,24.476286099998106,24.476286099998106,24.476286099998106,24.476286099998106,24.476286099998106,24.476286099998106,24.476286099998106,24.476286099998106,24.476286099998106,24.476286099998106,24.476286099998106,24.476286099998106,24.476286099998106,1.0554829999964568,1.721616199996788,2.1220433999988018,26.06151039999895,[-0.40069444444444446],[-0.07430555555555556],[1],[0],[0],[1.684754999998404],['call3'],[0.052083333333333336],[0.1],[1],[0],[0],[2.086146199999348],['colour2'],[0.4826388888888889],[0.04583333333333333],[1],[0],[0],[2.552137499998935],['number2'],True,True,True,,,,,2023-01-17_15h22.06.869,MA_Theta_Exp,2022.2.1,59.960234372539105,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,noVideo,sp07,Ti,Ro,1,0,5,5,5,,,26.078014599999733,27.078430199999275,27.078430199999275,27.078430199999275,27.078430199999275,27.078430199999275,27.078430199999275,27.078430199999275,27.078430199999275,27.078430199999275,27.078430199999275,27.078430199999275,27.078430199999275,27.078430199999275,1.055987699997786,1.789386899999954,2.5395782999985386,29.147678099998302,[-0.3277777777777778],[0.10972222222222222],[1],[0],[0],[1.7520719000021927],['call2'],"[-0.10555555555555556, -0.07847222222222222]","[0.14444444444444443, 0.14305555555555555]","[1, 1]","[0, 0]","[0, 0]","[2.2022418999986257, 2.5023449000000255]",['colour2'],[0.4027777777777778],[0.09027777777777778],[1],[0],[0],[3.03609890000007],['number2'],False,False,False,,,,,2023-01-17_15h22.06.869,MA_Theta_Exp,2022.2.1,59.960234372539105,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,plusVideo,sp01,Un,Ge,1,0,6,6,6,,,29.16441290000148,30.164417299998604,30.164417299998604,30.164417299998604,30.164417299998604,30.164417299998604,30.164417299998604,30.164417299998604,30.164417299998604,30.164417299998604,30.164417299998604,30.164417299998604,30.164417299998604,30.164417299998604,1.0555081000020436,1.638911600002757,2.289265700001124,31.91594769999938,[-0.31666666666666665],[0.06458333333333334],[1],[0],[0],[1.6029394999968645],['call2'],[-0.034722222222222224],[-0.08611111111111111],[1],[0],[0],[2.2529533999986597],['colour3'],[0.4597222222222222],[0.16180555555555556],[1],[0],[0],[2.7206732999984524],['number2'],False,False,False,,,,,2023-01-17_15h22.06.869,MA_Theta_Exp,2022.2.1,59.960234372539105,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,plusVideo,sp07,Un,We,2,0,7,7,7,,,31.933386299999256,32.93348519999927,32.93348519999927,32.93348519999927,32.93348519999927,32.93348519999927,32.93348519999927,32.93348519999927,32.93348519999927,32.93348519999927,32.93348519999927,32.93348519999927,32.93348519999927,32.93348519999927,1.0544201000011526,3.1389473999988695,4.023159799999121,36.28689659999873,"[0.1, -0.013194444444444444, -0.46319444444444446]","[0.11388888888888889, 0.0020833333333333333, -0.14166666666666666]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.9481541999994079, 2.4650460999982897, 3.0988785000008647]",['call3'],"[0.10972222222222222, 0.021527777777777778]","[0.3159722222222222, 0.3159722222222222]","[1, 1]","[0, 0]","[0, 0]","[3.567185200001404, 3.9830608000011125]",['colour1'],[0.33541666666666664],[0.30972222222222223],[1],[0],[0],[4.3172655000016675],['number1'],False,False,False,,,,,2023-01-17_15h22.06.869,MA_Theta_Exp,2022.2.1,59.960234372539105,
audio/zh_sp01_Ad_Ge_1.wav,globalTheta,noVideo,sp01,Ad,Ge,1,0,8,8,8,,,36.30308700000023,37.303911300001346,37.303911300001346,37.303911300001346,37.303911300001346,37.303911300001346,37.303911300001346,37.303911300001346,37.303911300001346,37.303911300001346,37.303911300001346,37.303911300001346,37.303911300001346,37.303911300001346,1.056188899998233,1.6238077999987581,2.30740429999787,39.088902399998915,[-0.4222222222222222],[0.31875],[1],[0],[0],[1.5862073999996937],['call1'],[0.03125],[-0.28888888888888886],[1],[0],[0],[2.270028700000694],['colour4'],[0.4027777777777778],[-0.08541666666666667],[1],[0],[0],[2.753526700002112],['number3'],True,False,False,,,,,2023-01-17_15h22.06.869,MA_Theta_Exp,2022.2.1,59.960234372539105,
audio/zh_sp01_Ad_Ge_1.wav,globalTheta,noVideo,sp07,Ad,Ro,3,0,9,9,9,,,39.10558719999972,40.12292470000102,40.12292470000102,40.12292470000102,40.12292470000102,40.12292470000102,40.12292470000102,40.12292470000102,40.12292470000102,40.12292470000102,40.12292470000102,40.12292470000102,40.12292470000102,40.12292470000102,1.0553486000026169,1.6396698000025935,2.6405881000027875,42.02498679999917,[-0.31875],[0.3611111111111111],[1],[0],[0],[1.6003710000004503],['call1'],"[0.13819444444444445, 0.04027777777777778]","[-0.35555555555555557, -0.31875]","[1, 1]","[0, 0]","[0, 0]","[2.382909500000096, 2.6005769000003056]",['colour4'],[0.45625],[-0.2951388888888889],[1],[0],[0],[2.8830826000012166],['number4'],True,False,False,,,,,2023-01-17_15h22.06.869,MA_Theta_Exp,2022.2.1,59.960234372539105,
