noise,block,voice,levels,words,callSign,colour,number
NV,NV1,Neural2-D,0.2p,16.0,,,
NV,NV1,Neural2-D,0.4p,16.0,,,
NV,NV1,Neural2-D,0.6p,16.0,,,
NV,NV1,Neural2-F,0.2p,16.0,,,
NV,NV1,Neural2-F,0.4p,16.0,,,
NV,NV1,Neural2-F,0.6p,16.0,,,
NV,NV2,Neural2-D,0.2p,16.0,,,
NV,NV2,Neural2-D,0.4p,16.0,,,
NV,NV2,Neural2-D,0.6p,16.0,,,
NV,NV2,Neural2-F,0.2p,16.0,,,
NV,NV2,Neural2-F,0.4p,16.0,,,
NV,NV2,Neural2-F,0.6p,16.0,,,
SiSSN,SSN1,Neural2-D,-11db,16.0,,,
SiSSN,SSN1,Neural2-D,-7db,16.0,,,
SiSSN,SSN1,Neural2-D,-9db,16.0,,,
SiSSN,SSN1,Neural2-F,-11db,16.0,,,
SiSSN,SSN1,Neural2-F,-7db,16.0,,,
SiSSN,SSN1,Neural2-F,-9db,16.0,,,
SiSSN,SSN2,Neural2-D,-11db,16.0,,,
SiSSN,SSN2,Neural2-D,-7db,16.0,,,
SiSSN,SSN2,Neural2-D,-9db,16.0,,,
SiSSN,SSN2,Neural2-F,-11db,16.0,,,
SiSSN,SSN2,Neural2-F,-7db,16.0,,,
SiSSN,SSN2,Neural2-F,-9db,16.0,,,
NV,NV1,Neural2-D,0.2p,,16.0,,
NV,NV1,Neural2-D,0.4p,,16.0,,
NV,NV1,Neural2-D,0.6p,,16.0,,
NV,NV1,Neural2-F,0.2p,,16.0,,
NV,NV1,Neural2-F,0.4p,,16.0,,
NV,NV1,Neural2-F,0.6p,,16.0,,
NV,NV2,Neural2-D,0.2p,,16.0,,
NV,NV2,Neural2-D,0.4p,,16.0,,
NV,NV2,Neural2-D,0.6p,,16.0,,
NV,NV2,Neural2-F,0.2p,,16.0,,
NV,NV2,Neural2-F,0.4p,,16.0,,
NV,NV2,Neural2-F,0.6p,,16.0,,
SiSSN,SSN1,Neural2-D,-11db,,16.0,,
SiSSN,SSN1,Neural2-D,-7db,,16.0,,
SiSSN,SSN1,Neural2-D,-9db,,16.0,,
SiSSN,SSN1,Neural2-F,-11db,,16.0,,
SiSSN,SSN1,Neural2-F,-7db,,16.0,,
SiSSN,SSN1,Neural2-F,-9db,,16.0,,
SiSSN,SSN2,Neural2-D,-11db,,16.0,,
SiSSN,SSN2,Neural2-D,-7db,,16.0,,
SiSSN,SSN2,Neural2-D,-9db,,16.0,,
SiSSN,SSN2,Neural2-F,-11db,,16.0,,
SiSSN,SSN2,Neural2-F,-7db,,16.0,,
SiSSN,SSN2,Neural2-F,-9db,,16.0,,
NV,NV1,Neural2-D,0.2p,,,16.0,
NV,NV1,Neural2-D,0.4p,,,16.0,
NV,NV1,Neural2-D,0.6p,,,16.0,
NV,NV1,Neural2-F,0.2p,,,16.0,
NV,NV1,Neural2-F,0.4p,,,16.0,
NV,NV1,Neural2-F,0.6p,,,16.0,
NV,NV2,Neural2-D,0.2p,,,16.0,
NV,NV2,Neural2-D,0.4p,,,16.0,
NV,NV2,Neural2-D,0.6p,,,16.0,
NV,NV2,Neural2-F,0.2p,,,16.0,
NV,NV2,Neural2-F,0.4p,,,16.0,
NV,NV2,Neural2-F,0.6p,,,16.0,
SiSSN,SSN1,Neural2-D,-11db,,,16.0,
SiSSN,SSN1,Neural2-D,-7db,,,16.0,
SiSSN,SSN1,Neural2-D,-9db,,,16.0,
SiSSN,SSN1,Neural2-F,-11db,,,16.0,
SiSSN,SSN1,Neural2-F,-7db,,,16.0,
SiSSN,SSN1,Neural2-F,-9db,,,16.0,
SiSSN,SSN2,Neural2-D,-11db,,,16.0,
SiSSN,SSN2,Neural2-D,-7db,,,16.0,
SiSSN,SSN2,Neural2-D,-9db,,,16.0,
SiSSN,SSN2,Neural2-F,-11db,,,16.0,
SiSSN,SSN2,Neural2-F,-7db,,,16.0,
SiSSN,SSN2,Neural2-F,-9db,,,16.0,
NV,NV1,Neural2-D,0.2p,,,,16.0
NV,NV1,Neural2-D,0.4p,,,,16.0
NV,NV1,Neural2-D,0.6p,,,,16.0
NV,NV1,Neural2-F,0.2p,,,,16.0
NV,NV1,Neural2-F,0.4p,,,,16.0
NV,NV1,Neural2-F,0.6p,,,,16.0
NV,NV2,Neural2-D,0.2p,,,,16.0
NV,NV2,Neural2-D,0.4p,,,,16.0
NV,NV2,Neural2-D,0.6p,,,,16.0
NV,NV2,Neural2-F,0.2p,,,,16.0
NV,NV2,Neural2-F,0.4p,,,,16.0
NV,NV2,Neural2-F,0.6p,,,,16.0
SiSSN,SSN1,Neural2-D,-11db,,,,16.0
SiSSN,SSN1,Neural2-D,-7db,,,,16.0
SiSSN,SSN1,Neural2-D,-9db,,,,16.0
SiSSN,SSN1,Neural2-F,-11db,,,,16.0
SiSSN,SSN1,Neural2-F,-7db,,,,16.0
SiSSN,SSN1,Neural2-F,-9db,,,,16.0
SiSSN,SSN2,Neural2-D,-11db,,,,16.0
SiSSN,SSN2,Neural2-D,-7db,,,,16.0
SiSSN,SSN2,Neural2-D,-9db,,,,16.0
SiSSN,SSN2,Neural2-F,-11db,,,,16.0
SiSSN,SSN2,Neural2-F,-7db,,,,16.0
SiSSN,SSN2,Neural2-F,-9db,,,,16.0
