audiofile,duration,noise,voice,words,callSign,colour,number,levels,NV_nChannels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,n,callSignCorrect_mean,callSignCorrect_raw,colourCorrect_mean,colourCorrect_raw,mouseClickOnCall.clicked_name_raw,mouseClickOnCall.leftButton_raw,mouseClickOnCall.midButton_raw,mouseClickOnCall.rightButton_raw,mouseClickOnCall.time_raw,mouseClickOnCall.x_raw,mouseClickOnCall.y_raw,mouseClickOnColour.clicked_name_raw,mouseClickOnColour.leftButton_raw,mouseClickOnColour.midButton_raw,mouseClickOnColour.rightButton_raw,mouseClickOnColour.time_raw,mouseClickOnColour.x_raw,mouseClickOnColour.y_raw,mouseClickOnNumber.clicked_name_raw,mouseClickOnNumber.leftButton_raw,mouseClickOnNumber.midButton_raw,mouseClickOnNumber.rightButton_raw,mouseClickOnNumber.time_raw,mouseClickOnNumber.x_raw,mouseClickOnNumber.y_raw,numberCorrect_mean,numberCorrect_raw,order
audio/NV_DE_Neural2-D_Ti-ge-Zw_0.3p_16ch.wav,5.4068,NV,Neural2-D,Ti-ge-Zw,Ti,ge,Zw,0.3p,16ch,100,101,114,121,132,110,120,130,DE_Neural2-D_Ti-ge-Zw.TextGrid,0.16712,4.661277353,0.883917277,1.329190149,2.662561172,3.045308715,4.294848153,4.661277353,mean,0,NV1,1,1,TRUE,0,FALSE,call4,1,0,0,1.9764436,-0.389814815,-0.327777778,colour1,1,0,0,2.8936343,-0.014814815,0.266666667,number2,1,0,0,3.6259138,0.40462963,0.085185185,0,FALSE,3
audio/NV_DE_Neural2-F_Ti-ge-Vi_0.3p_16ch.wav,5.0115,NV,Neural2-F,Ti-ge-Vi,Ti,ge,Vi,0.3p,16ch,100,101,114,121,134,110,120,130,DE_Neural2-F_Ti-ge-Vi.TextGrid,0.15712,4.254373792,0.758691398,1.202936396,2.309178027,2.63712,3.834413192,4.254373792,mean,3,NV1,1,1,TRUE,0,FALSE,call4,1,0,0,1.5850217,-0.361111111,-0.325,colour1,1,0,0,2.4833478,-0.006481481,0.277777778,number4,1,0,0,3.2004582,0.388888889,-0.299074074,0,FALSE,22
audio/NV_DE_Neural2-F_Kr-ge-Vi_0.15p_16ch.wav,5.0233,NV,Neural2-F,Kr-ge-Vi,Kr,ge,Vi,0.15p,16ch,100,101,113,121,134,110,120,130,DE_Neural2-F_Kr-ge-Vi.TextGrid,0.16712,4.25712,0.720638594,1.241880919,2.289385274,2.622419769,3.82227013,4.25712,mean,3,NV1,1,1,TRUE,0,FALSE,call3,1,0,0,2.8557004,-0.348148148,-0.097222222,colour3,1,0,0,4.2044664,-0.002777778,-0.074074074,number4,1,0,0,4.8039083,0.45,-0.331481481,0,FALSE,30
audio/NV_DE_Neural2-D_Dr-gr-Ei_0.05p_16ch.wav,5.5639,NV,Neural2-D,Dr-gr-Ei,Dr,gr,Ei,0.05p,16ch,100,101,112,122,131,110,120,130,DE_Neural2-D_Dr-gr-Ei.TextGrid,0.16712,4.82712,0.823359565,1.265779167,2.646460866,3.063852819,4.358197933,4.82712,mean,3,NV1,1,1,TRUE,0,FALSE,call2,1,0,0,1.7491101,-0.346296296,0.089814815,colour2,1,0,0,2.3338089,-0.010185185,0.073148148,number1,1,0,0,2.9488084,0.367592593,0.302777778,0,FALSE,16
audio/NV_DE_Neural2-F_Ad-ge-Dr_0.05p_16ch.wav,4.9357,NV,Neural2-F,Ad-ge-Dr,Ad,ge,Dr,0.05p,16ch,100,101,111,121,133,110,120,130,DE_Neural2-F_Ad-ge-Dr.TextGrid,0.16712,4.178839897,0.719596459,1.271667608,2.299203047,2.633878254,3.837499798,4.178839897,mean,1,NV1,1,1,TRUE,0,FALSE,call1,1,0,0,2.4310721,-0.37962963,0.294444444,colour1,1,0,0,3.1974347,-0.032407407,0.276851852,number3,1,0,0,3.8476878,0.392592593,-0.126851852,0,FALSE,32
audio/NV_DE_Neural2-D_Dr-ro-Ei_0.05p_16ch.wav,5.5134,NV,Neural2-D,Dr-ro-Ei,Dr,ro,Ei,0.05p,16ch,100,101,112,123,131,110,120,130,DE_Neural2-D_Dr-ro-Ei.TextGrid,0.17712,4.771068534,0.836467901,1.28712,2.667852346,3.038227306,4.313416044,4.771068534,mean,0,NV1,1,1,TRUE,0,FALSE,call2,1,0,0,1.9674786,-0.35,0.09537037,colour3,1,0,0,2.6001863,-0.018518519,-0.091666667,number1,1,0,0,3.1679234,0.393518519,0.277777778,0,FALSE,36
audio/NV_DE_Neural2-D_Dr-ro-Ei_0p_16ch.wav,5.5134,NV,Neural2-D,Dr-ro-Ei,Dr,ro,Ei,0p,16ch,100,101,112,123,131,110,120,130,DE_Neural2-D_Dr-ro-Ei.TextGrid,0.17712,4.771068534,0.836467901,1.28712,2.667852346,3.038227306,4.313416044,4.771068534,mean,3,NV1,1,1,TRUE,0,FALSE,call2,1,0,0,1.9400183,-0.387962963,0.151851852,colour3,1,0,0,2.5220249,-0.028703704,-0.049074074,number1,1,0,0,3.0393625,0.456481481,0.3,0,FALSE,37
audio/NV_DE_Neural2-D_Ad-we-Dr_0.15p_16ch.wav,5.4683,NV,Neural2-D,Ad-we-Dr,Ad,we,Dr,0.15p,16ch,100,101,111,124,133,110,120,130,DE_Neural2-D_Ad-we-Dr.TextGrid,0.17712,4.706794303,0.821289179,1.350671989,2.755144188,3.155322623,4.420868294,4.706794303,mean,2,NV1,1,1,TRUE,0,FALSE,call1,1,0,0,1.7736436,-0.435185185,0.290740741,colour4,1,0,0,2.539874,0.063888889,-0.298148148,number3,1,0,0,3.1062581,0.362962963,-0.096296296,0,FALSE,2
audio/NV_DE_Neural2-F_Dr-ro-Vi_0.15p_16ch.wav,4.94,NV,Neural2-F,Dr-ro-Vi,Dr,ro,Vi,0.15p,16ch,100,101,112,123,134,110,120,130,DE_Neural2-F_Dr-ro-Vi.TextGrid,0.16712,4.20712,0.676545573,1.199376117,2.22664799,2.576749767,3.76712,4.20712,mean,2,NV1,1,1,TRUE,0,FALSE,call2,1,0,0,1.8540263,-0.347222222,0.097222222,colour3,1,0,0,2.4369554,0.023148148,-0.12037037,number4,1,0,0,2.9377886,0.399074074,-0.282407407,0,FALSE,17
audio/NV_DE_Neural2-F_Kr-ge-Dr_0p_16ch.wav,4.9212,NV,Neural2-F,Kr-ge-Dr,Kr,ge,Dr,0p,16ch,100,101,113,121,133,110,120,130,DE_Neural2-F_Kr-ge-Dr.TextGrid,0.16712,4.191543585,0.713112986,1.245661431,2.303852034,2.632458994,3.839963275,4.191543585,mean,0,NV1,1,1,TRUE,0,FALSE,call3,1,0,0,1.5664812,-0.426851852,-0.128703704,colour3,1,0,0,2.5149378,0.016666667,-0.107407407,number3,1,0,0,3.2976431,0.434259259,-0.088888889,0,FALSE,45
