condsFile,audiofile,duration,noise,voice,words,callSign,colour,number,levels,NV_nChannels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,newidx,block,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instrTraining.started,instrTrainText.started,key_resp_2.started,instrTraining.stopped,startBlock.started,blockStart.started,key_resp.started,startBlock.stopped,audioTrial.started,sound_1.started,fixation.started,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,audioTrial.stopped,trial.started,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,trial.stopped,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,mouseClickOnNumber.started,blankScreenAfterResponse.started,thanks.started,thanksText.started,key_resp_5.started,thanks.stopped,participant,order,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005337300000064715,0.02841630000011719,0.02841630000011719,52.20703830000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Ti-ro-Ei_0.15p_16ch.wav,5.0619,NV,Neural2-F,Ti-ro-Ei,Ti,ro,Ei,0.15p,16ch,100,101,114,123,131,110,120,130,11,NV3,0,0,0,0,0,0,0,15,57.95773220000001,,,,,,52.27414850000014,52.28044650000038,52.28044650000038,57.71871420000025,57.78269030000001,57.967173600000024,57.95773220000001,62.64990160000025,62.64990160000025,62.64990160000025,62.61897090000002,62.61899100000028,62.64990160000025,63.66263530000015,63.66263530000015,63.66263530000015,63.66263530000015,63.66263530000015,63.66263530000015,63.66263530000015,63.66263530000015,63.66263530000015,63.66263530000015,63.66263530000015,63.66263530000015,63.66263530000015,1.0263052999998763,9.523733399999855,72.62275940000018,[-0.39537037037037037],[0.30462962962962964],[1],[0],[0],[9.53662869999971],['call1'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],False,NO_ANSW,NO_ANSW,,,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Ti-gr-Zw_0.1p_16ch.wav,4.9512,NV,Neural2-F,Ti-gr-Zw,Ti,gr,Zw,0.1p,16ch,100,101,114,122,132,110,120,130,11,NV3,0,0,0,0,0,1,1,26,72.79166980000036,,,,,,,,,,72.63546680000036,72.7878045666668,72.79166980000036,77.35699760000034,77.35699760000034,77.35699760000034,77.34698440000011,77.34700570000041,77.35699760000034,78.3663719000001,78.3663719000001,78.3663719000001,78.3663719000001,78.3663719000001,78.3663719000001,78.3663719000001,78.3663719000001,78.3663719000001,78.3663719000001,78.3663719000001,78.3663719000001,78.3663719000001,1.0036089000000175,2.5512260000000424,82.00029240000003,[-0.40925925925925927],[-0.3416666666666667],[1],[0],[0],[2.5532232000000477],['call4'],[-0.030555555555555555],[-0.06574074074074074],[1],[0],[0],[3.535370099999909],['colour3'],[0.4222222222222222],[-0.08425925925925926],[1],[0],[0],[4.652062499999829],['number3'],True,False,False,3.5339144999998098,82.16629920000014,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Kr-ge-Dr_0.05p_16ch.wav,4.9212,NV,Neural2-F,Kr-ge-Dr,Kr,ge,Dr,0.05p,16ch,100,101,113,121,133,110,120,130,8,NV3,0,0,0,0,0,2,2,13,82.16629920000014,,,,,,,,,,82.00210050000032,82.16318796666671,82.16629920000014,86.71251920000032,86.71251920000032,86.71251920000032,86.6998152000001,86.69983790000015,86.71251920000032,87.72535730000027,87.72535730000027,87.72535730000027,87.72535730000027,87.72535730000027,87.72535730000027,87.72535730000027,87.72535730000027,87.72535730000027,87.72535730000027,87.72535730000027,87.72535730000027,87.72535730000027,1.008566299999984,2.757572600000003,91.57527340000024,[-0.3814814814814815],[-0.10648148148148148],[1],[0],[0],[2.7587711999999556],['call3'],[0.023148148148148147],[-0.07777777777777778],[1],[0],[0],[3.908303600000181],['colour3'],[0.45555555555555555],[-0.31574074074074077],[1],[0],[0],[4.874307900000076],['number4'],True,False,False,3.9063568999999916,91.76414670000031,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-D_Ad-gr-Zw_0p_16ch.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0p,16ch,100,101,111,122,132,110,120,130,11,NV3,0,0,0,0,0,3,3,8,91.76414670000031,,,,,,,,,,91.57708670000011,91.77197170000018,91.76414670000031,96.93799270000045,96.93799270000045,96.93799270000045,96.92535720000024,96.92539910000005,96.93799270000045,97.95005730000003,97.95005730000003,97.95005730000003,97.95005730000003,97.95005730000003,97.95005730000003,97.95005730000003,97.95005730000003,97.95005730000003,97.95005730000003,97.95005730000003,97.95005730000003,97.95005730000003,1.0081645000000208,2.740472999999838,101.91610590000028,[-0.3962962962962963],[0.2851851851851852],[1],[0],[0],[2.742471800000203],['call1'],[0.03518518518518519],[0.11851851851851852],[1],[0],[0],[3.557656699999825],['colour2'],[0.37777777777777777],[0.33425925925925926],[1],[0],[0],[4.9892297999999755],['number1'],True,False,False,3.556071200000133,102.0932343000004,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-D_Ti-we-Ei_0.1p_16ch.wav,5.5762,NV,Neural2-D,Ti-we-Ei,Ti,we,Ei,0.1p,16ch,100,101,114,124,131,110,120,130,11,NV3,0,0,0,0,0,4,4,28,102.0932343000004,,,,,,,,,,101.91798610000023,102.09670933333376,102.0932343000004,107.23221810000041,107.23221810000041,107.23221810000041,107.22171920000028,107.22174070000028,107.23221810000041,108.24175280000009,108.24175280000009,108.24175280000009,108.24175280000009,108.24175280000009,108.24175280000009,108.24175280000009,108.24175280000009,108.24175280000009,108.24175280000009,108.24175280000009,108.24175280000009,108.24175280000009,1.0030836000000818,2.4020196000001306,111.358115,[-0.4361111111111111],[0.08518518518518518],[1],[0],[0],[2.4036412000000382],['call2'],[0.05092592592592592],[-0.11944444444444445],[1],[0],[0],[3.435969699999987],['colour3'],[0.37407407407407406],[0.10185185185185185],[1],[0],[0],[4.135292399999798],['number2'],False,False,False,3.4344584999998915,111.50704490000044,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-D_Ad-we-Dr_0p_16ch.wav,5.4683,NV,Neural2-D,Ad-we-Dr,Ad,we,Dr,0p,16ch,100,101,111,124,133,110,120,130,9,NV3,0,0,0,0,0,5,5,1,111.50704490000044,,,,,,,,,,111.35994440000013,111.50533840000017,111.50704490000044,116.5540218000001,116.5540218000001,116.5540218000001,116.54250060000004,116.54252080000015,116.5540218000001,117.5676295000003,117.5676295000003,117.5676295000003,117.5676295000003,117.5676295000003,117.5676295000003,117.5676295000003,117.5676295000003,117.5676295000003,117.5676295000003,117.5676295000003,117.5676295000003,117.5676295000003,1.0085681000000477,2.5238717000002,120.88393870000027,[-0.3731481481481482],[-0.3148148148148148],[1],[0],[0],[2.5258428999995886],['call4'],[-0.04814814814814815],[-0.26481481481481484],[1],[0],[0],[3.5097069000003103],['colour4'],[0.44351851851851853],[-0.2759259259259259],[1],[0],[0],[4.340350800000124],['number4'],False,False,False,3.506731899999977,121.0518718000003,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Dr-ge-Ei_0p_16ch.wav,5.1509,NV,Neural2-F,Dr-ge-Ei,Dr,ge,Ei,0p,16ch,100,101,112,121,131,110,120,130,11,NV3,0,0,0,0,0,6,6,29,121.0518718000003,,,,,,,,,,120.8858739000002,121.047885666667,121.0518718000003,125.8013175000001,125.8013175000001,125.8013175000001,125.79046960000005,125.79049030000033,125.8013175000001,126.81200500000023,126.81200500000023,126.81200500000023,126.81200500000023,126.81200500000023,126.81200500000023,126.81200500000023,126.81200500000023,126.81200500000023,126.81200500000023,126.81200500000023,126.81200500000023,126.81200500000023,1.0112052000004041,2.4181099000002177,130.07657880000033,[-0.44074074074074077],[0.11388888888888889],[1],[0],[0],[2.4196105999999418],['call2'],[0.049074074074074076],[0.2962962962962963],[1],[0],[0],[3.7019523000003574],['colour1'],[0.36944444444444446],[0.3194444444444444],[1],[0],[0],[4.2850038000001405],['number1'],True,False,False,3.7001913000003697,130.28254360000028,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Ti-ro-Ei_0.05p_16ch.wav,5.0619,NV,Neural2-F,Ti-ro-Ei,Ti,ro,Ei,0.05p,16ch,100,101,114,123,131,110,120,130,10,NV3,0,0,0,0,0,7,7,4,130.28254360000028,,,,,,,,,,130.07845440000028,130.29041256666684,130.28254360000028,134.95399380000026,134.95399380000026,134.95399380000026,134.94174380000004,134.94176570000036,134.95399380000026,135.95261500000015,135.95261500000015,135.95261500000015,135.95261500000015,135.95261500000015,135.95261500000015,135.95261500000015,135.95261500000015,135.95261500000015,135.95261500000015,135.95261500000015,135.95261500000015,135.95261500000015,0.9948902000000999,2.9920555999997305,139.48461250000037,[-0.40185185185185185],[-0.2962962962962963],[1],[0],[0],[2.9937222999997175],['call4'],[-0.03148148148148148],[-0.06759259259259259],[1],[0],[0],[3.97639479999998],['colour3'],[0.37407407407407406],[-0.06759259259259259],[1],[0],[0],[4.541660099999717],['number3'],True,False,False,3.9746775999997226,139.67154720000008,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Ad-gr-Dr_0p_16ch.wav,4.9406,NV,Neural2-F,Ad-gr-Dr,Ad,gr,Dr,0p,16ch,100,101,111,122,133,110,120,130,9,NV3,0,0,0,0,0,8,8,10,139.67154720000008,,,,,,,,,,139.4862460000004,139.66591273333364,139.67154720000008,144.22891310000023,144.22891310000023,144.22891310000023,144.2170847000002,144.21710380000013,144.22891310000023,145.2278421000001,145.2278421000001,145.2278421000001,145.2278421000001,145.2278421000001,145.2278421000001,145.2278421000001,145.2278421000001,145.2278421000001,145.2278421000001,145.2278421000001,145.2278421000001,145.2278421000001,0.9947115999998459,1.7767478000000665,147.59578310000006,[-0.43703703703703706],[0.3472222222222222],[1],[0],[0],[1.7779592999995657],['call1'],[-0.022222222222222223],[0.31203703703703706],[1],[0],[0],[2.345260000000053],['colour1'],[0.4361111111111111],[-0.3111111111111111],[1],[0],[0],[3.377560099999755],['number4'],True,False,False,2.343331499999749,147.8015975000003,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
