audiofile,duration,noise,voice,words,callSign,colour,number,levels,NV_nChannels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,newidx,block
audio/NV_DE_Neural2-D_Ti-ge-Dr_0p_16ch.wav,5.4022,NV,Neural2-D,Ti-ge-Dr,Ti,ge,Dr,0p,16ch,100,101,114,121,133,110,120,130,17,NV5
audio/NV_DE_Neural2-D_Dr-gr-Dr_0p_16ch.wav,5.3868,NV,Neural2-D,Dr-gr-Dr,Dr,gr,Dr,0p,16ch,100,101,112,122,133,110,120,130,16,NV5
audio/NV_DE_Neural2-F_Ti-we-Dr_0.05p_16ch.wav,4.9342,NV,Neural2-F,Ti-we-Dr,Ti,we,Dr,0.05p,16ch,100,101,114,124,133,110,120,130,17,NV5
audio/NV_DE_Neural2-F_Ad-ro-Dr_0.1p_16ch.wav,4.8717,NV,Neural2-F,Ad-ro-Dr,Ad,ro,Dr,0.1p,16ch,100,101,111,123,133,110,120,130,18,NV5
audio/NV_DE_Neural2-D_Ad-ge-Ei_0p_16ch.wav,5.6324,NV,Neural2-D,Ad-ge-Ei,Ad,ge,Ei,0p,16ch,100,101,111,121,131,110,120,130,18,NV5
audio/NV_DE_Neural2-F_Dr-ge-Zw_0p_16ch.wav,4.967,NV,Neural2-F,Dr-ge-Zw,Dr,ge,Zw,0p,16ch,100,101,112,121,132,110,120,130,19,NV5
audio/NV_DE_Neural2-D_Ti-gr-Dr_0.1p_16ch.wav,5.4702,NV,Neural2-D,Ti-gr-Dr,Ti,gr,Dr,0.1p,16ch,100,101,114,122,133,110,120,130,17,NV5
audio/NV_DE_Neural2-F_Ad-ro-Zw_0p_16ch.wav,4.932,NV,Neural2-F,Ad-ro-Zw,Ad,ro,Zw,0p,16ch,100,101,111,123,132,110,120,130,16,NV5
audio/NV_DE_Neural2-F_Ad-ge-Zw_0p_16ch.wav,4.9664,NV,Neural2-F,Ad-ge-Zw,Ad,ge,Zw,0p,16ch,100,101,111,121,132,110,120,130,18,NV5
audio/NV_DE_Neural2-D_Kr-gr-Zw_0.1p_16ch.wav,5.4746,NV,Neural2-D,Kr-gr-Zw,Kr,gr,Zw,0.1p,16ch,100,101,113,122,132,110,120,130,19,NV5
audio/NV_DE_Neural2-D_Dr-gr-Zw_0.15p_16ch.wav,5.4445,NV,Neural2-D,Dr-gr-Zw,Dr,gr,Zw,0.15p,16ch,100,101,112,122,132,110,120,130,18,NV5
audio/NV_DE_Neural2-D_Kr-ro-Dr_0p_16ch.wav,5.3268,NV,Neural2-D,Kr-ro-Dr,Kr,ro,Dr,0p,16ch,100,101,113,123,133,110,120,130,19,NV5
audio/NV_DE_Neural2-F_Ad-we-Ei_0p_16ch.wav,5.1733,NV,Neural2-F,Ad-we-Ei,Ad,we,Ei,0p,16ch,100,101,111,124,131,110,120,130,17,NV5
audio/NV_DE_Neural2-D_Ad-gr-Ei_0.1p_16ch.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,0.1p,16ch,100,101,111,122,131,110,120,130,18,NV5
audio/NV_DE_Neural2-D_Ti-ro-Vi_0.05p_16ch.wav,5.4734,NV,Neural2-D,Ti-ro-Vi,Ti,ro,Vi,0.05p,16ch,100,101,114,123,134,110,120,130,17,NV5
audio/NV_DE_Neural2-D_Ti-ro-Ei_0.15p_16ch.wav,5.557,NV,Neural2-D,Ti-ro-Ei,Ti,ro,Ei,0.15p,16ch,100,101,114,123,131,110,120,130,16,NV5
audio/NV_DE_Neural2-F_Kr-ro-Dr_0.15p_16ch.wav,4.8714,NV,Neural2-F,Kr-ro-Dr,Kr,ro,Dr,0.15p,16ch,100,101,113,123,133,110,120,130,16,NV5
audio/NV_DE_Neural2-D_Ti-ge-Dr_0.15p_16ch.wav,5.4022,NV,Neural2-D,Ti-ge-Dr,Ti,ge,Dr,0.15p,16ch,100,101,114,121,133,110,120,130,17,NV5
audio/NV_DE_Neural2-F_Ti-we-Dr_0.1p_16ch.wav,4.9342,NV,Neural2-F,Ti-we-Dr,Ti,we,Dr,0.1p,16ch,100,101,114,124,133,110,120,130,19,NV5
audio/NV_DE_Neural2-D_Ad-we-Vi_0.15p_16ch.wav,5.5026,NV,Neural2-D,Ad-we-Vi,Ad,we,Vi,0.15p,16ch,100,101,111,124,134,110,120,130,19,NV5
audio/NV_DE_Neural2-D_Dr-ro-Ei_0.05p_16ch.wav,5.5134,NV,Neural2-D,Dr-ro-Ei,Dr,ro,Ei,0.05p,16ch,100,101,112,123,131,110,120,130,19,NV5
audio/NV_DE_Neural2-D_Ti-ge-Dr_0.05p_16ch.wav,5.4022,NV,Neural2-D,Ti-ge-Dr,Ti,ge,Dr,0.05p,16ch,100,101,114,121,133,110,120,130,18,NV5
audio/NV_DE_Neural2-F_Kr-we-Ei_0.1p_16ch.wav,5.172,NV,Neural2-F,Kr-we-Ei,Kr,we,Ei,0.1p,16ch,100,101,113,124,131,110,120,130,17,NV5
audio/NV_DE_Neural2-F_Ti-ro-Dr_0.15p_16ch.wav,4.843,NV,Neural2-F,Ti-ro-Dr,Ti,ro,Dr,0.15p,16ch,100,101,114,123,133,110,120,130,18,NV5
audio/NV_DE_Neural2-F_Kr-ro-Dr_0.05p_16ch.wav,4.8714,NV,Neural2-F,Kr-ro-Dr,Kr,ro,Dr,0.05p,16ch,100,101,113,123,133,110,120,130,19,NV5
audio/NV_DE_Neural2-F_Ad-we-Vi_0.05p_16ch.wav,5.0022,NV,Neural2-F,Ad-we-Vi,Ad,we,Vi,0.05p,16ch,100,101,111,124,134,110,120,130,16,NV5
audio/NV_DE_Neural2-F_Ad-gr-Dr_0.1p_16ch.wav,4.9406,NV,Neural2-F,Ad-gr-Dr,Ad,gr,Dr,0.1p,16ch,100,101,111,122,133,110,120,130,16,NV5
audio/NV_DE_Neural2-F_Dr-ge-Vi_0.05p_16ch.wav,4.9594,NV,Neural2-F,Dr-ge-Vi,Dr,ge,Vi,0.05p,16ch,100,101,112,121,134,110,120,130,18,NV5
audio/NV_DE_Neural2-D_Kr-gr-Zw_0.05p_16ch.wav,5.4746,NV,Neural2-D,Kr-gr-Zw,Kr,gr,Zw,0.05p,16ch,100,101,113,122,132,110,120,130,16,NV5
audio/NV_DE_Neural2-F_Dr-gr-Ei_0.15p_16ch.wav,5.1726,NV,Neural2-F,Dr-gr-Ei,Dr,gr,Ei,0.15p,16ch,100,101,112,122,131,110,120,130,17,NV5
audio/NV_DE_Neural2-F_Ti-gr-Zw_0.15p_16ch.wav,4.9512,NV,Neural2-F,Ti-gr-Zw,Ti,gr,Zw,0.15p,16ch,100,101,114,122,132,110,120,130,19,NV5
audio/NV_DE_Neural2-D_Dr-we-Dr_0.1p_16ch.wav,5.2596,NV,Neural2-D,Dr-we-Dr,Dr,we,Dr,0.1p,16ch,100,101,112,124,133,110,120,130,16,NV5
