audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block
audio/NV_DE_Neural2-F_Dr-ro-Ei_0.6p.wav,5.0857,NV,Neural2-F,Dr-ro-Ei,Dr,ro,Ei,0.6p,100,101,112,123,131,DE_Neural2-F_Dr-ro-Ei.TextGrid,0.16712,4.316758085333333,0.6826226240000001,1.1958408473333333,2.181903545,2.549007265,3.747429689666667,4.316758085333333,mean,18,NV2
audio/NV_DE_Neural2-D_Ad-we-Vi_0.6p.wav,5.5026,NV,Neural2-D,Ad-we-Vi,Ad,we,Vi,0.6p,100,101,111,124,134,DE_Neural2-D_Ad-we-Vi.TextGrid,0.17712,4.764590807,0.8161583760000001,1.3591726533333333,2.766939896333333,3.1557082476666665,4.404128031,4.764590807,mean,31,NV2
audio/NV_DE_Neural2-D_Kr-we-Ei_0.6p.wav,5.5064,NV,Neural2-D,Kr-we-Ei,Kr,we,Ei,0.6p,100,101,113,124,131,DE_Neural2-D_Kr-we-Ei.TextGrid,0.17712,4.756052989,0.8137350286666667,1.2751825953333331,2.630365497,3.0301944583333333,4.289901507,4.756052989,mean,16,NV2
audio/NV_DE_Neural2-F_Ti-ge-Vi_0.4p.wav,5.0115,NV,Neural2-F,Ti-ge-Vi,Ti,ge,Vi,0.4p,100,101,114,121,134,DE_Neural2-F_Ti-ge-Vi.TextGrid,0.15712,4.254373791666667,0.7586913976666666,1.2029363956666663,2.309178027,2.63712,3.834413192333333,4.254373791666667,mean,28,NV2
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.4p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.4p,100,101,111,122,133,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.749849451333333,0.8241352593333334,1.340557652,2.780488097333333,3.1959259816666665,4.483330535333333,4.749849451333333,mean,31,NV2
audio/NV_DE_Neural2-F_Ti-gr-Ei_0.2p.wav,5.1123,NV,Neural2-F,Ti-gr-Ei,Ti,gr,Ei,0.2p,100,101,114,122,131,DE_Neural2-F_Ti-gr-Ei.TextGrid,0.17712,4.336648937333333,0.74564187,1.1995180546666666,2.240201963666667,2.6213206503333333,3.763247007,4.336648937333333,mean,30,NV2
audio/NV_DE_Neural2-D_Kr-gr-Dr_0.6p.wav,5.4346,NV,Neural2-D,Kr-gr-Dr,Kr,gr,Dr,0.6p,100,101,113,122,133,DE_Neural2-D_Kr-gr-Dr.TextGrid,0.16712,4.690725736666667,0.819801163,1.2925480643333334,2.7034203926666667,3.113857034,4.3997961173333335,4.690725736666667,mean,26,NV2
audio/NV_DE_Neural2-D_Ti-gr-Dr_0.6p.wav,5.4702,NV,Neural2-D,Ti-gr-Dr,Ti,gr,Dr,0.6p,100,101,114,122,133,DE_Neural2-D_Ti-gr-Dr.TextGrid,0.17712,4.715304276,0.9093203863333332,1.3427046356666663,2.50712,2.7559757190000003,3.95712,4.428193238666666,mean,19,NV2
audio/NV_DE_Neural2-D_Ti-ro-Vi_0.2p.wav,5.4734,NV,Neural2-D,Ti-ro-Vi,Ti,ro,Vi,0.2p,100,101,114,123,134,DE_Neural2-D_Ti-ro-Vi.TextGrid,0.17712,4.722818721,0.8804176656666667,1.3309257883333334,2.708729941,3.1079143536666667,4.352671863333334,4.722818721,mean,30,NV2
audio/NV_DE_Neural2-F_Ad-ro-Dr_0.2p.wav,4.8717,NV,Neural2-F,Ad-ro-Dr,Ad,ro,Dr,0.2p,100,101,111,123,133,DE_Neural2-F_Ad-ro-Dr.TextGrid,0.16712,4.126070192666667,0.7135637613333333,1.261584827,2.236471505666667,2.592172553,3.790540711333333,4.126070192666667,mean,24,NV2
