TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.013224620022810996,None,0.4765980200318154,None,0.9603478200442623,None,"['num_4', 'return']","[0.4027951000025496, 0.5141943999915384]",17.493431700015208,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.07346929999766871, 0.20082820000243373]",18.031927800009726,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.038889699993887916, 0.1510650000127498]",18.264766300009796,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,0.0009544100321363658,None,0.46790441003395244,None,0.9730362100235652,None,"['num_4', 'return']","[0.6394724999845494, 0.959852600004524]",19.920428699988406,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.2339207999757491, 0.47401689999969676]",20.901880299992627,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.18135980001534335, 0.397628300008364]",21.402795600006357,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,0.014896520006004721,None,0.4800534200039692,None,0.9638341199897695,None,"['num_4', 'num_5', 'num_4', 'return']","[1.3129642000130843, 1.6809696000127587, 2.4406372000230476, 3.4563775999995414]",23.287592000007862,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.4432962000137195, 0.7078706000174861]",26.772638700000243,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.22119240000029095, 0.36505469999974594]",27.507004000013694,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,0.007764110021525994,None,0.48256321004009806,None,0.9495576100307517,None,"['num_4', 'return']","[0.6449967999942601, 0.7653294999909122]",29.346556700009387,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.12182400000165217, 0.2579408999881707]",30.142027199995937,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.12547260001883842, 0.2145485000219196]",30.426816299994243,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,0.0058022100129164755,None,0.47848721002810635,None,0.9622307100216858,None,"['num_4', 'return']","[0.5223305999825243, 0.6902488999767229]",32.10973520000698,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.10045500000705943, 0.21297219998086803]",32.82717989999219,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.1627567999821622, 0.27438919999985956]",33.06134410001687,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,0.000641710008494556,None,0.46819621001486667,None,0.9520496100012679,None,"['num_4', 'return']","[0.570333000010578, 0.7061269000114407]",34.813960600004066,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.10142150000319816, 0.2139986000256613]",35.546316599997226,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.1316889000008814, 0.2282124999910593]",35.780209099990316,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,0.0001998100196942687,None,0.467491510004038,None,0.9510631100274622,None,"['num_4', 'return']","[0.4271653000032529, 0.5629958999925293]",37.47669129999122,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.09395710000535473, 0.22965790002490394]",38.066517100000056,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.08275190001586452, 0.20299010002054274]",38.31699500000104,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,0.00686530998791568,None,0.4808767100039404,None,0.9644948100030888,None,"['num_4', 'return']","[0.39919630001531914, 0.527263199997833]",40.00096740000299,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.10520660001202486, 0.2248991000233218]",40.55088439999963,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.1032431999919936, 0.19917730000452138]",40.80107700001099,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,0,0,0,0,,,,,0.015203619987005368,None,0.4974382199870888,None,0.9644498199922964,None,"['num_4', 'return']","[0.4403388999926392, 0.5526373999891803]",42.49554430000717,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.1139172000112012, 0.24119729999802075]",43.07039070001338,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.07019679999211803, 0.18234519998077303]",43.33753489999799,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,0,0,0,0,,,,,0.01053360998048447,None,0.4880733099998906,None,0.9767595099983737,None,"['num_4', 'return']","[0.4649714000115637, 0.6082418000150938]",44.99941600000602,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.0803715999936685, 0.19187849998706952]",45.639941100002034,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.09660509999957867, 0.20054469999740832]",45.85548990001553,None,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,46.08630280001671,None,1,001,2021_Oct_22_1546,eeg_contingent_digits,2021.2.3,59.85160392853319,
