TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.01611979998415336,None,0.4935332000022754,None,0.9764332000049762,None,['return'],[0.44195120001677424],19.291046099970117,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
0.0,6.0,2.0,4.0,33.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.15890620002755895],19.755149899981916,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
0.0,6.0,2.0,4.0,33.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.13907549995929003],19.93843169999309,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
0.0,6.0,2.0,4.0,33.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
1.0,1.0,9.0,3.0,13.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,0.009845399996265769,None,0.4862098000012338,None,0.9694713000208139,None,['return'],[0.30228449997957796],21.539753899967764,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
1.0,1.0,9.0,3.0,13.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.14615129999583587],21.871843400003854,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
1.0,1.0,9.0,3.0,13.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.15195829997537658],22.038316699967254,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
1.0,1.0,9.0,3.0,13.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
2.0,8.0,0.0,1.0,21.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,0.010422299965284765,None,0.49144369998248294,None,0.9703336000093259,None,['return'],[0.3387844000244513],23.662470099981874,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
2.0,8.0,0.0,1.0,21.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.1477523999637924],24.021368199959397,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
