TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,Degrad_trial,Triggered_trial,Jitter_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.004539349989499897,None,0.47426485002506524,None,0.9578493500011973,None,['return'],[0.3730068000149913],18.0333488000324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.15529759996570647],18.431394500017632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.1688336000079289],18.614656499994453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
1.0,1.0,9.0,3.0,13.0,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0.010544349963311106,None,0.47090404998743907,None,0.9542915499769151,None,['return'],[0.1213141999905929],20.25527530000545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
1.0,1.0,9.0,3.0,13.0,,,,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.17924339999444783],20.398131800000556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
1.0,1.0,9.0,3.0,13.0,,,,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.16809299995657057],20.59783809998771,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
1.0,1.0,9.0,3.0,13.0,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
2.0,8.0,0.0,1.0,21.0,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,0.011256949976086617,None,0.49363074998836964,None,0.9556851499946788,None,None,,22.2308245500084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
2.0,8.0,0.0,1.0,21.0,,,,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.1977672999491915],22.237730900000315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
2.0,8.0,0.0,1.0,21.0,,,,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.1692204999853857],22.464267300034408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
2.0,8.0,0.0,1.0,21.0,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,0.010594549996312708,None,0.48751025000819936,None,0.9709026500349864,None,None,,24.113960800005586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.18811380001716316],24.10719250002876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.17026360001182184],24.314293900039047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0.010967150039505213,None,0.4883528500213288,None,0.9547473500133492,None,['return'],[0.08675449999282137],25.950279999990016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.1816926000174135],26.064015300013125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.17852249997667968],26.264136600017082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,0.009350150008685887,None,0.4855434500495903,None,0.9687861500424333,None,['return'],[0.028872599999886006],27.904886300035287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.1785033000051044],27.9641364000272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
