TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,sound_digit_2_ME.started,sound_digit_2_ME.stopped,sound_digit_3_ME.started,sound_digit_3_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.014792140000281506,None,0.49701034000099753,None,0.9864825399999972,None,"['num_4', 'return']","[0.3712114999998448, 0.5623752000010427]",20.256734100001268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1518,eeg_contingent_digits,2021.2.3,59.87905628178343,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,"['num_4', 'return']","[0.17490320000069914, 0.35895130000062636]",20.868568800000503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1518,eeg_contingent_digits,2021.2.3,59.87905628178343,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,"['num_4', 'return']","[0.13536480000038864, 0.3512410999992426]",21.26806519999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1518,eeg_contingent_digits,2021.2.3,59.87905628178343,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1518,eeg_contingent_digits,2021.2.3,59.87905628178343,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.66342260000056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1518,eeg_contingent_digits,2021.2.3,59.87905628178343,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.180014100000335,None,return,0.7674175000011019,22.180014100000335,None,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1518,eeg_contingent_digits,2021.2.3,59.87905628178343,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,23.789809300000343,None,25.190782179999953,None,25.665565470000367,None,25.665565470000367,None,25.200301599999875,None,return,2.040363600001001,26.202780300000086,None,26.202780300000086,None,,,,,,1,001,2021_Nov_12_1518,eeg_contingent_digits,2021.2.3,59.87905628178343,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.35172720000082336,28.291433100001086,None,28.291433100001086,None,,,,,,1,001,2021_Nov_12_1518,eeg_contingent_digits,2021.2.3,59.87905628178343,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.3370567000001756,28.689768100000947,None,28.689768100000947,None,,,,,,1,001,2021_Nov_12_1518,eeg_contingent_digits,2021.2.3,59.87905628178343,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_12_1518,eeg_contingent_digits,2021.2.3,59.87905628178343,
