TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,sound_digit_2_ME.started,sound_digit_2_ME.stopped,sound_digit_3_ME.started,sound_digit_3_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_5.started,text_5.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.007737459993222728,None,0.48086265998426825,None,0.964188860001741,None,['return'],[1.135066699993331],39.50991019999492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1051,eeg_contingent_digits,2021.2.3,59.92814615677518,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.38898199997493066],40.68265319999773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1051,eeg_contingent_digits,2021.2.3,59.92814615677518,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.3531776000163518],41.115081299998565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1051,eeg_contingent_digits,2021.2.3,59.92814615677518,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1051,eeg_contingent_digits,2021.2.3,59.92814615677518,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.515243600006215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1051,eeg_contingent_digits,2021.2.3,59.92814615677518,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,42.44891720000305,None,45.26966230000835,None,0.001979320019017905,None,0.46777722000842914,None,0.9513587200199254,None,46.62143389999983,47.631016800005455,"['1', 'return']","[2.5396872999845073, 2.8309517999878153]",48.07424519999768,None,48.07424519999768,None,48.07424519999768,49.081187300005695,,,,,,,,1,001,2021_Nov_15_1051,eeg_contingent_digits,2021.2.3,59.92814615677518,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"['2', 'return']","[0.11613529999158345, 0.4642124999954831]",50.952788199996576,None,50.952788199996576,None,50.952788199996576,None,,,,,,,,1,001,2021_Nov_15_1051,eeg_contingent_digits,2021.2.3,59.92814615677518,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,"['0', 'return']","[0.8536918999743648, 1.0546953000011854]",51.468460500007495,None,51.468460500007495,None,51.468460500007495,52.480829300009646,,,,,,,,1,001,2021_Nov_15_1051,eeg_contingent_digits,2021.2.3,59.92814615677518,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.57019619998755,None,None,None,None,None,None,1,001,2021_Nov_15_1051,eeg_contingent_digits,2021.2.3,59.92814615677518,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,55.58044869999867,None,0.013059500022791326,None,0.48576960002537817,None,0.9523088000132702,None,57.697594400000526,58.696800500008976,"['0', 'return']","[0.570541699999012, 0.8289797000179533]",59.136192999983905,None,59.136192999983905,None,59.136192999983905,None,,,,,,,,1,001,2021_Nov_15_1051,eeg_contingent_digits,2021.2.3,59.92814615677518,
