TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,sound_digit_2_ME.started,sound_digit_2_ME.stopped,sound_digit_3_ME.started,sound_digit_3_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_5.started,text_5.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.01274753999314271,None,0.49086453998461366,None,0.9740609400032554,None,['return'],[0.4936570000136271],24.497407400020165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0955,eeg_contingent_digits,2021.2.3,60.12871151996619,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.3441760999849066],25.043802900006995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0955,eeg_contingent_digits,2021.2.3,60.12871151996619,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.3485954999923706],25.428266200004146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0955,eeg_contingent_digits,2021.2.3,60.12871151996619,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0955,eeg_contingent_digits,2021.2.3,60.12871151996619,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.823170499992557,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0955,eeg_contingent_digits,2021.2.3,60.12871151996619,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.60668950001127,None,28.112588799995137,None,0.0024804799759294838,None,0.4702832799812313,None,0.4702832799812313,None,29.528145499993116,None,return,1.1566607999848202,30.53932999999961,None,30.53932999999961,None,,,,,,,,1,001,2021_Nov_15_0955,eeg_contingent_digits,2021.2.3,60.12871151996619,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,return,0.9807372000068426,31.739551300008316,None,31.739551300008316,None,,,,,,,,1,001,2021_Nov_15_0955,eeg_contingent_digits,2021.2.3,60.12871151996619,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,return,0.5714049999951385,32.76665700000012,None,32.76665700000012,None,,,,,,,,1,001,2021_Nov_15_0955,eeg_contingent_digits,2021.2.3,60.12871151996619,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.38168190000579,None,None,None,None,None,None,1,001,2021_Nov_15_0955,eeg_contingent_digits,2021.2.3,60.12871151996619,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,36.389089500007685,None,0.0143826499406714,None,0.48107154996250756,None,0.48107154996250756,None,38.49684140001773,None,return,0.841380099998787,39.50866779999342,None,39.50866779999342,None,,,,,,,,1,001,2021_Nov_15_0955,eeg_contingent_digits,2021.2.3,60.12871151996619,
