audiofile,duration,noise,voice,words,callSign,colour,number,levels,file,rater,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,newidx,block
audio/SiSSN_DE_Neural2-D_Ad-we-Zw_-7.5db.wav,5.5198,SiSSN,Neural2-D,Ad-we-Zw,Ad,we,Zw,-7.5db,DE_Neural2-D_Ad-we-Zw.TextGrid,Rahel,0.17712,4.76621492658531,0.8220409983504231,1.3600341946255603,2.736861771101148,3.1476224827830044,4.420685082639095,4.76621492658531,28,SSN1
audio/SiSSN_DE_Neural2-F_Kr-ro-Vi_-5db.wav,4.9515,SiSSN,Neural2-F,Kr-ro-Vi,Kr,ro,Vi,-5db,DE_Neural2-F_Kr-ro-Vi.TextGrid,Rahel,0.15712,4.2190495494158,0.7188321817417169,1.253000351482385,2.2358752205947683,2.58712,3.785689689365887,4.2190495494158,28,SSN1
audio/SiSSN_DE_Neural2-F_Dr-ge-Zw_-5db.wav,4.967,SiSSN,Neural2-F,Dr-ge-Zw,Dr,ge,Zw,-5db,DE_Neural2-F_Dr-ge-Zw.TextGrid,Rahel,0.16712,4.214451732966468,0.7074706333588324,1.2037922685161675,2.2840658923598265,2.59712,3.8273905982887326,4.214451732966468,5,SSN1
audio/SiSSN_DE_Neural2-D_Ad-ro-Dr_-7.5db.wav,5.4214,SiSSN,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,-7.5db,DE_Neural2-D_Ad-ro-Dr.TextGrid,Rahel,0.16712,4.648473636529182,0.8104788885714111,1.34712,2.7178105774529144,3.12712,4.402756577634274,4.648473636529182,21,SSN1
audio/SiSSN_DE_Neural2-F_Ti-we-Ei_-5db.wav,5.17,SiSSN,Neural2-F,Ti-we-Ei,Ti,we,Ei,-5db,DE_Neural2-F_Ti-we-Ei.TextGrid,Rahel,0.16712,4.4257171667681945,0.7315507087700738,1.2191240245053891,2.279521045173808,2.65712,3.848614259557909,4.4257171667681945,23,SSN1
audio/SiSSN_DE_Neural2-D_Dr-we-Zw_-7.5db.wav,5.3485,SiSSN,Neural2-D,Dr-we-Zw,Dr,we,Zw,-7.5db,DE_Neural2-D_Dr-we-Zw.TextGrid,Rahel,0.17712,4.583568339171714,0.8497210790601489,1.264629913720522,2.5923958545801926,2.98712,4.240627100266912,4.583568339171714,30,SSN1
audio/SiSSN_DE_Neural2-F_Kr-gr-Zw_0db.wav,4.975,SiSSN,Neural2-F,Kr-gr-Zw,Kr,gr,Zw,0db,DE_Neural2-F_Kr-gr-Zw.TextGrid,Rahel,0.17712,4.23310472513076,0.7400128871492072,1.25712,2.2522161223135795,2.629419599110454,3.844259165716698,4.23310472513076,21,SSN1
audio/SiSSN_DE_Neural2-D_Kr-gr-Ei_-7.5db.wav,5.6275,SiSSN,Neural2-D,Kr-gr-Ei,Kr,gr,Ei,-7.5db,DE_Neural2-D_Kr-gr-Ei.TextGrid,Rahel,0.17712,4.881542368732839,0.8472967603895398,1.298335196207682,2.712834870911472,3.111197285028225,4.422602529659488,4.881542368732839,26,SSN1
audio/SiSSN_DE_Neural2-F_Kr-ro-Zw_-5db.wav,4.9106,SiSSN,Neural2-F,Kr-ro-Zw,Kr,ro,Zw,-5db,DE_Neural2-F_Kr-ro-Zw.TextGrid,Rahel,0.15712,4.165968598125817,0.7208177869995377,1.256316112966696,2.218394989602228,2.56712,3.777559941093844,4.165968598125817,30,SSN1
audio/SiSSN_DE_Neural2-D_Ti-ro-Ei_0db.wav,5.557,SiSSN,Neural2-D,Ti-ro-Ei,Ti,ro,Ei,0db,DE_Neural2-D_Ti-ro-Ei.TextGrid,Rahel,0.16712,4.820542110296617,0.8983560634280655,1.3326906113801782,2.716229704136976,3.1219553896491288,4.360849706999995,4.820542110296617,25,SSN1
