noise,block,voice,levels,words
NV,NV1,Neural2-D,0.6p,32
NV,NV1,Neural2-D,0.75p,32
NV,NV1,Neural2-D,0.8p,32
NV,NV1,Neural2-F,0.6p,32
NV,NV1,Neural2-F,0.75p,32
NV,NV1,Neural2-F,0.8p,32
NV,NV2,Neural2-D,0.6p,32
NV,NV2,Neural2-D,0.75p,32
NV,NV2,Neural2-D,0.8p,32
NV,NV2,Neural2-F,0.6p,32
NV,NV2,Neural2-F,0.75p,32
NV,NV2,Neural2-F,0.8p,32
SiSSN,SSN1,Neural2-D,-5db,32
SiSSN,SSN1,Neural2-D,-7.5db,32
SiSSN,SSN1,Neural2-D,0db,32
SiSSN,SSN1,Neural2-F,-5db,32
SiSSN,SSN1,Neural2-F,-7.5db,32
SiSSN,SSN1,Neural2-F,0db,32
SiSSN,SSN2,Neural2-D,-5db,32
SiSSN,SSN2,Neural2-D,-7.5db,32
SiSSN,SSN2,Neural2-D,0db,32
SiSSN,SSN2,Neural2-F,-5db,32
SiSSN,SSN2,Neural2-F,-7.5db,32
SiSSN,SSN2,Neural2-F,0db,32
