TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,sound_digit_2_ME.started,sound_digit_2_ME.stopped,sound_digit_3_ME.started,sound_digit_3_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0014191799991749576,None,0.46963837999919633,None,0.9535735799991016,None,"['num_4', 'return']","[0.3707200000008015, 0.6347020000002885]",16.95188760000019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,"['num_4', 'return']","[0.19453629999952682, 0.43429659999947035]",17.63190040000063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,"['num_4', 'return']","[0.1994814999998198, 0.423829499999556]",18.115053100000296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.580134400000134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.362690300000395,None,return,1.000289900000098,19.362690300000395,None,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,21.145859400000518,None,22.50649218000053,None,23.006519679999837,None,23.006519679999837,None,22.513869299999897,None,return,1.2580025000006572,25.52075220000006,None,25.52075220000006,None,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.6441405999994458,26.82273090000035,None,26.82273090000035,None,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.3986637999996674,27.50754930000039,None,27.50754930000039,None,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,27.95613660000072,None,30.04829262000003,None,30.538923880000038,None,30.538923880000038,None,30.04642899999999,None,return,0.8491910000002463,33.05785449999985,None,33.05785449999985,None,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.39948400000048423,33.946688600000016,None,33.946688600000016,None,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.3728535999998712,34.39756660000057,None,34.39756660000057,None,,,,,,1,001,2021_Nov_12_1501,eeg_contingent_digits,2021.2.3,60.06103402254723,
