TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,control_block.thisRepN,control_block.thisTrialN,control_block.thisN,control_block.thisIndex,ctrl_trials.thisRepN,ctrl_trials.thisTrialN,ctrl_trials.thisN,ctrl_trials.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.016471759998239577,None,0.4984573600013391,None,0.9816428600024665,None,['return'],[1.5061995999931241],20.030230699994718,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.43297159999929136],21.556513299998187,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.408776600001147],22.006737099996826,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.010651129996404052,None,0.4878059300026507,None,0.9709557300011511,None,['return'],[0.4710715999972308],23.87880149999546,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.4223591999980272],24.373211699996318,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.373388399995747],24.82316709999577,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.006747729996277485,None,0.46322752999549266,None,0.963205129999551,None,['return'],[0.36366399999678833],26.659909599999082,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.3746557999984361],27.058984699993744,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.42315660000167554],27.45634019999852,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.010158929988392629,None,0.4699326299887616,None,0.9533172299925354,None,['return'],[0.2772853999995277],29.343228899997484,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.2883044999980484],29.639237699993828,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.3075347999983933],29.956100600000354,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.010128629997780081,None,0.4700065299984999,None,0.9533902300026966,None,['return'],[0.3071674999955576],31.713523099999293,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.19836320000467822],32.03926999999385,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.19863189999887254],32.25614439999481,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.007492329998058267,None,0.48155612999835284,None,0.9480225299994345,None,['return'],[0.27117549999820767],33.90842200000043,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.18677369999932125],34.20572689999972,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.15809840000292752],34.42242869999609,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.010308930002793204,None,0.4870017299981555,None,0.9704647300022771,None,['return'],[0.021091800001158845],36.04642349999631,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.17971769999712706],36.089039200000116,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1637295999971684],36.288944699997955,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.006504229997517541,None,0.4830795300003956,None,0.9457331300000078,None,['return'],[0.11043659999995725],37.91106079999736,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
