TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.004984039987903088,None,0.4770174399600364,None,0.9607159399602097,None,"['num_4', 'return']","[0.46528350000153296, 0.6090793000184931]",17.28472049999982,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.041454599995631725, 0.18485320001491345]",17.925339600013103,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.03953539999201894, 0.12760490001528524]",18.142879399994854,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,0.001562140038004145,None,0.4701548400335014,None,0.9539181400323287,None,"['num_4', 'return']","[0.5841996000090148, 0.6876562999968883]",19.741878600005293,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.06524070000159554, 0.17743999999947846]",20.460810399992624,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.056694300001254305, 0.15281020000111312]",20.661094200011576,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,0.0017584399902261794,None,0.4704926399863325,None,0.9542925400019158,None,"['num_4', 'return']","[0.3694361000088975, 0.4905526000075042]",22.284463699994376,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.06618920000619255, 0.18632720000459813]",22.795887299987953,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.025779200019314885, 0.13854660000652075]",23.012192700000014,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,0.010109440016094595,None,0.4705698400211986,None,0.9551662400190253,None,"['num_4', 'return']","[0.44004829999175854, 0.527683899999829]",24.614755799993873,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.08255600000848062, 0.1691055000119377]",25.16465610000887,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.03450390000944026, 0.1300395000143908]",25.36445910000475,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,0.009623039979487658,None,0.48613853997085243,None,0.9533079399552662,None,"['num_4', 'return']","[0.3695550999836996, 0.4333005999797024]",26.956689999991795,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.0626693999802228, 0.19038939999882132]",27.415838999993866,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.004132800007937476, 0.10789340001065284]",27.633961199986516,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,0.01622757999575697,None,0.49952487999689765,None,0.9833321799815167,None,"['num_4', 'return']","[0.3093778000038583, 0.40577689997735433]",29.22456569998758,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.07446609999169596, 0.16329269998823293]",29.65120749999187,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.05095350000192411, 0.1382080000184942]",29.835967699997127,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,0.0009544400090817362,None,0.4855951399949845,None,0.9526418400055263,None,"['num_4', 'return']","[0.3725931000080891, 0.4447805000236258]",31.45787630000268,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.06498880000435747, 0.12886450000223704]",31.940872300008778,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.051291000010678545, 0.12336100000538863]",32.10639820000506,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,0.0009067399660125375,None,0.485390239948174,None,0.9525206399557646,None,"['num_4', 'return']","[0.3481215999927372, 0.42068989999825135]",33.706097699992824,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.08197040000231937, 0.16230940000968985]",34.1561314999999,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.06660120000015013, 0.13069789999281056]",34.339802100003,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,0,0,0,0,,,,,0.010015139996539801,None,0.4870047399890609,None,0.9707558400114067,None,"['num_4', 'return']","[0.41611859999829903, 0.5447751999890897]",35.93354980001459,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.026453200000105426, 0.15365950000705197]",36.50797020000755,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,['return'],[0.4499800000048708],36.691875799995614,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,0,0,0,0,,,,,0.01034864000394009,None,0.4877741399977822,None,0.9781032399914693,None,"['num_4', 'return']","[0.5268838000192773, 0.7432025000161957]",38.61496760000591,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.18728220000048168, 0.4120462999853771]",39.39441850001458,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,"['num_4', 'return']","[0.15465630000107922, 0.6582423999789171]",39.82739729998866,None,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,40.508175640003174,None,1,001,2021_Oct_22_1554,eeg_contingent_digits,2021.2.3,59.98897403340273,
