TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.0009845799941103905,None,0.4734648799931165,None,0.9520220800186507,None,"['num_4', 'return']","[0.5176129000028595, 0.709768200002145]",26.908188100002008,None,,,,,,,1,001,2021_Oct_22_1555,eeg_contingent_digits,2021.2.3,59.859450003878905,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.10136609998880886, 0.28511779999826103]",27.65197090001311,None,,,,,,,1,001,2021_Oct_22_1555,eeg_contingent_digits,2021.2.3,59.859450003878905,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.07199599998421036, 0.529045999981463]",27.969172899989644,None,,,,,,,1,001,2021_Oct_22_1555,eeg_contingent_digits,2021.2.3,59.859450003878905,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1555,eeg_contingent_digits,2021.2.3,59.859450003878905,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0.006177379982545972,None,0.47816527998656966,None,0.9451535799889825,None,"['num_4', 'return']","[0.4131947999994736, 0.5415640999854077]",29.964109599997755,None,,,,,,,1,001,2021_Oct_22_1555,eeg_contingent_digits,2021.2.3,59.859450003878905,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.10288210000726394, 0.24836950001190417]",30.538171199994395,None,,,,,,,1,001,2021_Oct_22_1555,eeg_contingent_digits,2021.2.3,59.859450003878905,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.09396229998674244, 0.2049107999773696]",30.805056899989722,None,,,,,,,1,001,2021_Oct_22_1555,eeg_contingent_digits,2021.2.3,59.859450003878905,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1555,eeg_contingent_digits,2021.2.3,59.859450003878905,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,0.007630680047441274,None,0.4818514800281264,None,0.9651252800249495,None,"['num_4', 'return']","[0.3848623000085354, 0.4880830000038259]",32.48165470000822,None,,,,,,,1,001,2021_Oct_22_1555,eeg_contingent_digits,2021.2.3,59.859450003878905,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.13177370000630617, 0.24392229999648407]",32.99012249999214,None,,,,,,,1,001,2021_Oct_22_1555,eeg_contingent_digits,2021.2.3,59.859450003878905,
