TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0045066000311635435,None,0.4754184000194073,None,0.9599744000297505,None,"['num_4', 'return']","[0.4039751999953296, 0.48317940000561066]",17.685767999995733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.10283240000717342, 0.21558429999276996]",18.19395529999747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.06943629999295808, 0.14909479999914765]",18.42777670000214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,0.010288800025591627,None,0.4707681000290904,None,0.9548908000288066,None,"['num_4', 'return']","[0.4709032999817282, 0.5914276999828871]",20.050277400005143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.05819919999339618, 0.17869269999209791]",20.662973900005454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.03385210002306849, 0.16220410002279095]",20.86353569998755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,0.010315400024410337,None,0.4881980000354815,None,0.9710462000221014,None,"['num_4', 'return']","[0.3220384999876842, 0.385004099982325]",22.487943099986296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.09526829997776076, 0.18289870000444353]",22.89832429998205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.03934070002287626, 0.13492800001404248]",23.113844599982258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,0.010331599973142147,None,0.4709288999729324,None,0.9550964999943972,None,"['num_4', 'return']","[0.3644149000174366, 0.45195760001661256]",24.717059199989308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.06597860000329092, 0.16975329999695532]",25.199405999999726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.04107169999042526, 0.13767470000311732]",25.399821099999826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,0.010659999999916181,None,0.48756480001611635,None,0.9552204000065103,None,"['num_4', 'return']","[0.4059574999846518, 0.5102012999996077]",27.011059399985243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.04028029998880811, 0.16077250000671484]",27.55316660000244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.03455300000496209, 0.1381962999876123]",27.73530070000561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,0.01085130003048107,None,0.489573900034884,None,0.9726966000162065,None,"['num_4', 'return']","[0.4081462000031024, 0.5363985000003595]",29.345006099989405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.017870099982246757, 0.1696317000023555]",29.90332579999813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.009401299990713596, 0.12147639997419901]",30.103785099985544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,0.011027300002751872,None,0.495503500016639,None,0.9784922999970149,None,"['num_4', 'return']","[0.31155159999616444, 0.38391500001307577]",31.69768519999343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.06908280000789091, 0.17265880000195466]",32.11666739999782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.031603299983544275, 0.11956600000848994]",32.32189599997946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,0.0015571000112686306,None,0.4698227000189945,None,0.9536597000260372,None,"['num_4', 'return']","[0.3740059000265319, 0.4543736000196077]",33.93147749998025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.0739330000069458, 0.1705610000062734]",34.40719870000612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.025850099977105856, 0.12194369998178445]",34.60720269999001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,0.010128000023541972,None,0.487392200040631,None,0.95418970004539,None,"['num_4', 'return']","[0.4481681000033859, 0.5847971999901347]",36.20106560000568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'num_4', 'return']","[0.012828800012357533, 0.1252919000107795, 0.13367149999248795]",36.819935099978466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.5531721000152174],36.97606509999605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,,,,,,,,,,0.010463199985679239,None,0.47162529997876845,None,0.9551465999975335,None,"['num_4', 'return']","[0.3483198000176344, 0.4454877999960445]",38.99638659998891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.06056479999097064, 0.1713469999958761]",39.46182039999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.027148500026669353, 0.13160079999943264]",39.66257809998933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.82647649999126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,55.91683329999796,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
0.0,0.0,9.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,65.93189019997953,None,67.14582129998598,None,67.14582129998598,None,67.14582129998598,None,67.14582129998598,None,67.14582129998598,None,0.009811900003114715,None,0.47807869999087416,None,0.9605760000122245,None,"['num_4', 'return']","[0.8751604999997653, 1.1151681000192184]",72.99025770000299,None,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
0.0,0.0,9.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.1612633999902755, 0.38412309999694116]",74.14523589998134,None,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
0.0,0.0,9.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.1713127999973949, 0.4029144000087399]",74.55800869999803,None,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
0.0,0.0,9.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
1.0,3.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,75.0138798999833,None,75.0138798999833,None,75.0138798999833,None,75.0138798999833,None,75.0138798999833,None,0.0009664999961387366,None,0.46858220000285655,None,0.9599731999915093,None,"['num_4', 'return']","[0.8916847000073176, 1.1556824000144843]",83.73356049999711,None,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
1.0,3.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.16482259999611415, 0.38854490002267994]",84.91658129999996,None,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
1.0,3.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.18816079999669455, 0.4042246999742929]",85.33317009999882,None,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
1.0,3.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
2.0,8.0,6.0,3.0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,85.77891409999575,None,85.77891409999575,None,85.77891409999575,None,85.77891409999575,None,85.77891409999575,None,7.200025720521808e-06,None,0.4736211000417825,None,0.9572918000339996,None,"['num_4', 'return']","[0.5118940999964252, 0.6787973000027705]",92.0421076999919,None,,,1,001,2021_Oct_22_1602,eeg_contingent_digits,2021.2.3,59.626523314194905,
