TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,sound_digit_2_ME.started,sound_digit_2_ME.stopped,sound_digit_3_ME.started,sound_digit_3_ME.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0014711000003444497,None,0.4693225999999413,None,0.9529534000002968,None,"['num_4', 'return']","[0.41875830000026326, 0.6274984000001496]",18.30692260000069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,"['num_4', 'return']","[0.17456579999998212, 0.35051990000010846]",18.975508999999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,"['num_4', 'return']","[0.12817879999965953, 0.3287464999993972]",19.374597099999846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.739572800000133,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.455812600000172,None,return,0.7262178000000858,20.455812600000172,None,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,21.95252260000052,None,22.227409200000146,None,22.227409200000146,None,22.227409200000146,None,return,1.0578624999998283,22.716632499999832,None,22.716632499999832,23.72498640000049,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.7883414999996603,23.809833199999957,None,23.809833199999957,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.5832947999997486,24.64682840000023,None,24.64682840000023,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,25.287287400000423,None,26.322267400000236,None,26.322267400000236,None,26.322267400000236,None,return,0.9205443999999261,26.797480500000347,None,26.797480500000347,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.4164736000002449,27.76594980000027,None,27.76594980000027,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.3351460000003499,28.232760700000654,None,28.232760700000654,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,28.623247900000024,None,29.649481599999852,None,29.649481599999852,None,29.649481599999852,None,return,0.702902100000756,30.135008799999923,None,30.135008799999923,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.3140155999999479,30.884240299999874,None,30.884240299999874,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.30706390000068495,31.234914200000276,None,31.234914200000276,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,31.592991800000163,None,32.595719800000005,None,32.595719800000005,None,32.595719800000005,None,return,0.6322683000007601,33.06966530000045,None,33.06966530000045,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.28259129999969446,33.75521750000007,None,33.75521750000007,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.2549448999998276,34.08719139999994,None,34.08719139999994,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,4.0,5.0,2.0,4.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,34.38711630000034,None,35.40716190000003,None,35.40716190000003,None,35.40716190000003,None,return,0.9817087999999785,35.888748500000474,None,35.888748500000474,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,4.0,5.0,2.0,4.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.3330531000001429,36.905209399999876,None,36.905209399999876,36.905209399999876,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,4.0,5.0,2.0,4.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.28263409999999567,37.29113860000052,None,37.29113860000052,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,4.0,5.0,2.0,4.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,5.0,9.0,1.0,2.0,14.0,1.0,0.0,-1.0,,,,,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,37.625856999999996,None,38.67186859999983,None,38.67186859999983,None,38.67186859999983,None,return,0.5871231000000989,39.146760300000096,None,39.146760300000096,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,5.0,9.0,1.0,2.0,14.0,1.0,0.0,-1.0,,,,,,,,,,,,,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.28587489999972604,39.77586490000067,None,39.77586490000067,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,5.0,9.0,1.0,2.0,14.0,1.0,0.0,-1.0,,,,,,,,,,,,,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.2881915999996636,40.10980970000037,None,40.10980970000037,None,,,,,,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,5.0,9.0,1.0,2.0,14.0,1.0,0.0,-1.0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_12_1444,eeg_contingent_digits,2021.2.3,59.950852291098236,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.44197669999994,None,41.485397400000146,None,41.485397400000146,None,41.485397400000146,None,,,,,,,,,,,,,,,,,,
