TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,sound_digit_2_ME.started,sound_digit_2_ME.stopped,sound_digit_3_ME.started,sound_digit_3_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_5.started,text_5.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.004298249987186864,None,0.473962849995587,None,0.957413149997592,None,['return'],[0.4097964999964461],20.88601980000385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.3425490999943577],21.33454169999459,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.34159579998231493],21.720789799990598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.102900800004136,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,22.65067010000348,None,23.994637600000715,None,0.002153250010451302,None,0.48623005000990815,None,0.48623005000990815,None,25.428003799985163,None,return,1.0190912999969441,26.442319800000405,None,26.442319800000405,None,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,return,0.8508451000088826,27.510614700004226,None,27.510614700004226,None,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,return,0.7739874999970198,28.402504400000907,None,28.402504400000907,None,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.215991500008386,None,None,None,None,None,None,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,32.21569119999185,None,0.005178399995202199,None,0.47328139998717234,None,0.47328139998717234,None,34.30438139999751,None,return,1.3114210999920033,35.31560490000993,None,35.31560490000993,None,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,return,0.414696100022411,36.66713029998937,None,36.66713029998937,None,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,return,0.39030100000672974,37.11753699998371,None,37.11753699998371,None,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.548546100006206,None,None,None,None,None,None,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,40.551845499983756,None,0.004759800009196624,None,0.4845744000049308,None,0.4845744000049308,None,42.62416450001183,None,return,0.670905999984825,43.63186890000361,None,43.63186890000361,None,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,return,0.3216575999977067,44.35060269999667,None,44.35060269999667,None,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,return,0.3228028000157792,44.71685629998683,None,44.71685629998683,None,,,,,,,,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0812561000057,None,None,None,None,None,None,1,001,2021_Nov_15_0954,eeg_contingent_digits,2021.2.3,59.99336473222545,
