TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,Digit1_clear.started,Digit1_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0.004336150001108763,None,['return'],[1.473339500000293],30.735962699999618,None,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
0.0,6.0,2.0,4.0,33.0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
1.0,1.0,9.0,3.0,13.0,0,0,0,0,0,1,1,1,0,0,0,0,0.007239749999826017,None,['return'],[0.8452975000000151],32.74036559999968,None,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
1.0,1.0,9.0,3.0,13.0,0,0,0,0,0,1,1,1,,,,,,,,,,,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
2.0,8.0,0.0,1.0,21.0,0,0,0,0,0,2,2,2,0,0,0,0,0.009389350000674312,None,['return'],[1.0143207000000984],34.106966100000136,None,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
2.0,8.0,0.0,1.0,21.0,0,0,0,0,0,2,2,2,,,,,,,,,,,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
3.0,9.0,6.0,1.0,61.0,0,0,0,0,0,3,3,3,0,0,0,0,0.009259149999707006,None,['return'],[0.8109862000001158],35.674589999999625,None,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
3.0,9.0,6.0,1.0,61.0,0,0,0,0,0,3,3,3,,,,,,,,,,,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
4.0,8.0,1.0,5.0,7.0,0,0,0,0,0,4,4,4,0,0,0,0,0.009585249999872758,None,['return'],[1.768389500000012],37.02310630000011,None,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
4.0,8.0,1.0,5.0,7.0,0,0,0,0,0,4,4,4,,,,,,,,,,,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,0,0,0,0,0.008947749999606458,None,['return'],[1.4908274999997957],39.323731399999815,None,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,,,,,,,,,,,1,001,2021_Nov_17_1204,eeg_contingent_digits,2021.2.3,59.970554457828726,
,,,,,,,,,,,,,,,,,0.00928364999981568,None,,,,,,,,,,,
