videoFile,condition,video,speaker,callSign,colour,number,seq,id,block,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,firstHalf.thisRepN,firstHalf.thisTrialN,firstHalf.thisN,firstHalf.thisIndex,blocksA.thisRepN,blocksA.thisTrialN,blocksA.thisN,blocksA.thisIndex,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
video/Training/zh_sp01_Ad_We_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,We,4,,,,,,,,0,0,0,0,,,,,,,,,-0.37407407407407406,0.3453703703703704,1,0,0,9.102023800000097,call1,0.043055555555555555,0.10648148148148148,1,0,0,9.903268200000639,colour2,0.3527777777777778,0.08796296296296297,1,0,0,10.47527269999955,number2,True,False,False,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Training/zh_sp07_Ad_Ge_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,Ge,3,,,,,,,,0,1,1,1,,,,,,,,,-0.3199074074074074,0.09444444444444444,1,0,0,5.0200143000001844,call2,-0.03564814814814815,0.10416666666666667,1,0,0,5.604116100000283,colour2,0.4462962962962963,0.07546296296296297,1,0,0,6.516744099999414,number2,False,False,False,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Training/zh_sp01_Dr_Ro_3_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Dr,Ro,3,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ANSW,NO_ANSW,NO_ANSW,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Training/zh_sp07_Dr_Gr_4_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Dr,Gr,4,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ANSW,NO_ANSW,NO_ANSW,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Training/zh_sp01_Ti_Gr_2_NoThetaInAudio_NoVideo.avi,noTheta,noVideo,sp01,Ti,Gr,2,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ANSW,NO_ANSW,NO_ANSW,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Training/zh_sp07_Ti_Ro_1_NoThetaInAudio_NoVideo.avi,noTheta,noVideo,sp07,Ti,Ro,1,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ANSW,NO_ANSW,NO_ANSW,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Training/zh_sp01_Un_Ge_1_NoThetaInAudio_GlobalThetaInVideo.avi,noTheta,plusVideo,sp01,Un,Ge,1,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ANSW,NO_ANSW,NO_ANSW,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Training/zh_sp07_Un_We_2_NoThetaInAudio_GlobalThetaInVideo.avi,noTheta,plusVideo,sp07,Un,We,2,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ANSW,NO_ANSW,NO_ANSW,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Training/zh_sp01_Ad_Ge_1_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Ad,Ge,1,,,,,,,,0,8,8,8,,,,,,,,,-0.4009259259259259,0.27824074074074073,1,0,0,11.797356000000036,call1,-0.03981481481481482,0.29305555555555557,1,0,0,12.734293999999863,colour1,0.39305555555555555,0.08148148148148149,1,0,0,13.43085549999978,number2,True,True,False,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Training/zh_sp07_Ad_Ro_3_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ad,Ro,3,,,,,,,,0,9,9,9,,,,,,,,,-0.38333333333333336,0.12268518518518519,1,0,0,5.526177599999755,call2,0.0,0.09861111111111111,1,0,0,6.16112880000037,colour2,0.35833333333333334,0.09675925925925925,1,0,0,6.716341800000009,number2,False,False,False,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Experiment/zh_sp01_Ad_Ro_4_NoThetaInAudio_GlobalThetaInVideo.avi,noTheta,plusVideo,sp01,Ad,Ro,4,0,3,flow/blocks/NoThetaInAudio_GlobalThetaInVideo_A.csv,,,,,,,,,0,0,0,0,0,0,0,11,0.35833333333333334,0.09675925925925925,1,0,0,4.8310788999997385,call2,0.006481481481481481,0.09398148148148149,1,0,0,6.737818700000389,colour2,0.39305555555555555,0.08518518518518518,1,0,0,7.2884328999998615,number2,False,False,False,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Experiment/zh_sp07_Dr_Gr_1_NoThetaInAudio_GlobalThetaInVideo.avi,noTheta,plusVideo,sp07,Dr,Gr,1,0,3,flow/blocks/NoThetaInAudio_GlobalThetaInVideo_A.csv,,,,,,,,,0,0,0,0,0,1,1,20,0.39305555555555555,0.08518518518518518,1,0,0,4.103448099999696,call3,0.001851851851851852,-0.12638888888888888,1,0,0,6.911584699999366,colour3,0.3800925925925926,-0.15833333333333333,1,0,0,7.438122900000053,number3,False,False,False,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
video/Experiment/zh_sp01_Dr_Ge_2_NoThetaInAudio_GlobalThetaInVideo.avi,noTheta,plusVideo,sp01,Dr,Ge,2,0,3,flow/blocks/NoThetaInAudio_GlobalThetaInVideo_A.csv,,,,,,,,,0,0,0,0,0,2,2,17,-0.3375,-0.1175925925925926,1,0,0,6.129316500000641,call3,-0.020833333333333332,-0.11712962962962963,1,0,0,6.816092699999899,colour3,0.41712962962962963,-0.12916666666666668,1,0,0,7.3492035999997825,number3,False,False,False,111,2,2019_Nov_08_1354,MA_Theta_Exp,3.0.7,60.144768457674516,
