videoFile,condition,video,speaker,callSign,colour,number,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,instrExpText.started,key_resp_3.started,participant,order,date,expName,psychopyVersion,frameRate,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,noVideo,sp01,Ad,We,4,0,0,0,0,13.541460399999778,13.541460399999778,14.61470769999869,15.61542499999996,15.61542499999996,15.61542499999996,15.61542499999996,15.61542499999996,15.61542499999996,15.61542499999996,15.61542499999996,15.61542499999996,15.61542499999996,15.61542499999996,15.61542499999996,15.61542499999996,1.147894300000189,2.8319507999985944,3.215353999999934,18.434691700000258,"[0.041666666666666664, -0.5361111111111111, -0.44027777777777777]","[-0.1527777777777778, -0.25, -0.2875]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.8715067000011913, 2.3549553000011656, 2.7063514000001305]",['call4'],[0.07569444444444444],[-0.28055555555555556],[1],[0],[0],[3.088750599999912],['colour4'],[0.3458333333333333],[-0.2638888888888889],[1],[0],[0],[3.7893887999998697],['number4'],False,True,True,,,,,2023-01-17_15h20.33.758,MA_Theta_Exp,2022.2.1,59.4598901413746,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,noVideo,sp07,Ad,Ge,3,0,1,1,1,,,18.452264200001082,19.452048200000718,19.452048200000718,19.452048200000718,19.452048200000718,19.452048200000718,19.452048200000718,19.452048200000718,19.452048200000718,19.452048200000718,19.452048200000718,19.452048200000718,19.452048200000718,19.452048200000718,1.0548544000012043,2.1888498999978765,2.538967699998466,21.67130510000061,[-0.39444444444444443],[-0.10902777777777778],[1],[0],[0],[2.148805699998775],['call3'],[-0.044444444444444446],[-0.18472222222222223],[1],[0],[0],[2.498897000001307],['colour3'],[0.3923611111111111],[0.044444444444444446],[1],[0],[0],[3.182998599997518],['number2'],False,False,False,,,,,2023-01-17_15h20.33.758,MA_Theta_Exp,2022.2.1,59.4598901413746,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,plusVideo,sp01,Dr,Ro,3,0,2,2,2,,,21.68761209999866,22.688127900000836,22.688127900000836,22.688127900000836,22.688127900000836,22.688127900000836,22.688127900000836,22.688127900000836,22.688127900000836,22.688127900000836,22.688127900000836,22.688127900000836,22.688127900000836,22.688127900000836,1.0564064999998664,1.5229589999980817,1.8727670000007492,23.95605450000221,[-0.41388888888888886],[0.27361111111111114],[1],[0],[0],[1.484126000003016],['call1'],[0.03958333333333333],[-0.23194444444444445],[1],[0],[0],[1.8338676999992458],['colour4'],[0.4027777777777778],[0.06458333333333334],[1],[0],[0],[2.2344068999991578],['number2'],False,False,False,,,,,2023-01-17_15h20.33.758,MA_Theta_Exp,2022.2.1,59.4598901413746,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,plusVideo,sp07,Dr,Gr,4,0,3,3,3,,,23.973251499999606,24.97338899999886,24.97338899999886,24.97338899999886,24.97338899999886,24.97338899999886,24.97338899999886,24.97338899999886,24.97338899999886,24.97338899999886,24.97338899999886,24.97338899999886,24.97338899999886,24.97338899999886,1.0527154000010341,1.5526576000011119,2.0697994000001927,26.55801970000175,[-0.4201388888888889],[-0.015277777777777777],[1],[0],[0],[1.5117676000008942],['call3'],[-0.034722222222222224],[0.075],[1],[0],[0],[2.0287724000008893],['colour2'],[0.48819444444444443],[0.22430555555555556],[1],[0],[0],[2.545926700000564],['number1'],False,True,False,,,,,2023-01-17_15h20.33.758,MA_Theta_Exp,2022.2.1,59.4598901413746,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,noVideo,sp01,Ti,Gr,2,0,4,4,4,,,26.5758788000021,27.575614500001393,27.575614500001393,27.575614500001393,27.575614500001393,27.575614500001393,27.575614500001393,27.575614500001393,27.575614500001393,27.575614500001393,27.575614500001393,27.575614500001393,27.575614500001393,27.575614500001393,1.0557980000012321,1.7222388000009232,2.1396076000019093,29.16145619999952,[-0.37569444444444444],[-0.2881944444444444],[1],[0],[0],[1.6815387999995437],['call4'],[0.04583333333333333],[-0.10138888888888889],[1],[0],[0],[2.099109700000554],['colour3'],[0.3854166666666667],[-0.12569444444444444],[1],[0],[0],[2.5493083000001207],['number3'],False,False,False,,,,,2023-01-17_15h20.33.758,MA_Theta_Exp,2022.2.1,59.4598901413746,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,noVideo,sp07,Ti,Ro,1,0,5,5,5,,,29.17692520000128,30.177863299999444,30.177863299999444,30.177863299999444,30.177863299999444,30.177863299999444,30.177863299999444,30.177863299999444,30.177863299999444,30.177863299999444,30.177863299999444,30.177863299999444,30.177863299999444,30.177863299999444,1.0557697000003827,1.4724147999986599,1.9895871999979136,31.67944129999887,[-0.38055555555555554],[0.16111111111111112],[1],[0],[0],[1.4327101999988372],['call2'],[-0.04583333333333333],[-0.11458333333333333],[1],[0],[0],[1.949870500000543],['colour3'],[0.4027777777777778],[0.18541666666666667],[1],[0],[0],[2.4670054000016535],['number2'],False,True,False,,,,,2023-01-17_15h20.33.758,MA_Theta_Exp,2022.2.1,59.4598901413746,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,plusVideo,sp01,Un,Ge,1,0,6,6,6,,,31.695952099998976,32.69668499999898,32.69668499999898,32.69668499999898,32.69668499999898,32.69668499999898,32.69668499999898,32.69668499999898,32.69668499999898,32.69668499999898,32.69668499999898,32.69668499999898,32.69668499999898,32.69668499999898,1.0551577000005636,1.8391460999991978,2.256204599998455,34.5649897000003,"[-0.49027777777777776, -0.37916666666666665]","[-0.03958333333333333, -0.11319444444444444]","[1, 1]","[0, 0]","[0, 0]","[1.3657960000018647, 1.7995721000006597]",['call3'],[-0.059722222222222225],[0.12569444444444444],[1],[0],[0],[2.216589900002873],['colour2'],[0.48680555555555555],[-0.31180555555555556],[1],[0],[0],[2.8337704000005033],['number4'],False,False,False,,,,,2023-01-17_15h20.33.758,MA_Theta_Exp,2022.2.1,59.4598901413746,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,plusVideo,sp07,Un,We,2,0,7,7,7,,,34.582629700002144,35.58250540000154,35.58250540000154,35.58250540000154,35.58250540000154,35.58250540000154,35.58250540000154,35.58250540000154,35.58250540000154,35.58250540000154,35.58250540000154,35.58250540000154,35.58250540000154,35.58250540000154,1.0533533000016178,1.6040663000021596,1.9706351999993785,36.96739399999933,[-0.3527777777777778],[0.09236111111111112],[1],[0],[0],[1.562056599999778],['call2'],[-0.017361111111111112],[0.12083333333333333],[1],[0],[0],[1.929263699999865],['colour2'],[0.4173611111111111],[0.08958333333333333],[1],[0],[0],[2.345439000000624],['number2'],False,False,True,,,,,2023-01-17_15h20.33.758,MA_Theta_Exp,2022.2.1,59.4598901413746,
audio/zh_sp01_Ad_Ge_1.wav,globalTheta,noVideo,sp01,Ad,Ge,1,0,8,8,8,,,36.98415179999938,37.984613399999944,37.984613399999944,37.984613399999944,37.984613399999944,37.984613399999944,37.984613399999944,37.984613399999944,37.984613399999944,37.984613399999944,37.984613399999944,37.984613399999944,37.984613399999944,37.984613399999944,1.055655600001046,1.589112200003001,1.8726664000023447,39.2358329000017,[-0.44375],[-0.13055555555555556],[1],[0],[0],[1.543778300001577],['call3'],[-0.02847222222222222],[0.09791666666666667],[1],[0],[0],[1.8275818999973126],['colour2'],[0.4652777777777778],[0.11666666666666667],[1],[0],[0],[2.210345600000437],['number2'],False,False,False,,,,,2023-01-17_15h20.33.758,MA_Theta_Exp,2022.2.1,59.4598901413746,
audio/zh_sp01_Ad_Ge_1.wav,globalTheta,noVideo,sp07,Ad,Ro,3,0,9,9,9,,,39.25273670000024,40.25310990000071,40.25310990000071,40.25310990000071,40.25310990000071,40.25310990000071,40.25310990000071,40.25310990000071,40.25310990000071,40.25310990000071,40.25310990000071,40.25310990000071,40.25310990000071,40.25310990000071,1.054899300001125,1.7054057999994257,2.22280949999913,42.12209780000194,[-0.33194444444444443],[0.08333333333333333],[1],[0],[0],[1.668197599999985],['call2'],[0.020833333333333332],[-0.12083333333333333],[1],[0],[0],[2.1856661000019812],['colour3'],[0.37569444444444444],[0.3680555555555556],[1],[0],[0],[2.837007600002835],['number1'],False,True,False,,,,,2023-01-17_15h20.33.758,MA_Theta_Exp,2022.2.1,59.4598901413746,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.12209780000194,42.12209780000194,,,,,,,
