videoFile,condition,video,speaker,callSign,colour,number
video/Experiment/zh_sp07_Un_Ge_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Un,Ge,1
video/Experiment/zh_sp01_Ad_Ge_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,Ge,2
video/Experiment/zh_sp07_Dr_Ge_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,Ge,3
video/Experiment/zh_sp01_Ad_Ge_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,Ge,4
video/Experiment/zh_sp01_Ti_Gr_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ti,Gr,1
video/Experiment/zh_sp01_Un_Gr_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Un,Gr,2
video/Experiment/zh_sp01_Un_Gr_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Un,Gr,3
video/Experiment/zh_sp07_Ad_Gr_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,Gr,4
video/Experiment/zh_sp07_Ti_Ro_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ti,Ro,1
video/Experiment/zh_sp07_Un_Ro_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Un,Ro,2
video/Experiment/zh_sp01_Ad_Ro_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,Ro,3
video/Experiment/zh_sp01_Ti_Ro_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ti,Ro,4
video/Experiment/zh_sp01_Ti_We_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ti,We,1
video/Experiment/zh_sp01_Un_We_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Un,We,2
video/Experiment/zh_sp01_Dr_We_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Dr,We,3
video/Experiment/zh_sp07_Dr_We_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,We,4
video/Experiment/zh_sp01_Ad_Ge_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,Ge,1
video/Experiment/zh_sp07_Dr_Ge_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,Ge,2
video/Experiment/zh_sp07_Ad_Ge_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,Ge,3
video/Experiment/zh_sp01_Un_Ge_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Un,Ge,4
video/Experiment/zh_sp01_Dr_Gr_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Dr,Gr,1
video/Experiment/zh_sp07_Ti_Gr_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ti,Gr,2
video/Experiment/zh_sp01_Ti_Gr_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ti,Gr,3
video/Experiment/zh_sp01_Un_Gr_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Un,Gr,4
video/Experiment/zh_sp07_Dr_Ro_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,Ro,1
video/Experiment/zh_sp07_Ad_Ro_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,Ro,2
video/Experiment/zh_sp07_Dr_Ro_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,Ro,3
video/Experiment/zh_sp01_Un_Ro_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Un,Ro,4
video/Experiment/zh_sp07_Dr_We_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,We,1
video/Experiment/zh_sp07_Ti_We_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ti,We,2
video/Experiment/zh_sp07_Ti_We_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ti,We,3
video/Experiment/zh_sp07_Ad_We_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,We,4
