videoFile,condition,video,speaker,callSign,colour,number
video/Experiment/zh_sp07_Dr_Ge_1_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Dr,Ge,1
video/Experiment/zh_sp07_Un_Ge_2_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Un,Ge,2
video/Experiment/zh_sp07_Ad_Ge_3_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ad,Ge,3
video/Experiment/zh_sp07_Un_Ge_4_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Un,Ge,4
video/Experiment/zh_sp07_Ti_Gr_1_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ti,Gr,1
video/Experiment/zh_sp01_Dr_Gr_2_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Dr,Gr,2
video/Experiment/zh_sp01_Ti_Gr_3_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Ti,Gr,3
video/Experiment/zh_sp01_Dr_Gr_4_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Dr,Gr,4
video/Experiment/zh_sp01_Un_Ro_1_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Un,Ro,1
video/Experiment/zh_sp07_Un_Ro_2_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Un,Ro,2
video/Experiment/zh_sp01_Ti_Ro_3_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Ti,Ro,3
video/Experiment/zh_sp07_Ti_Ro_4_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ti,Ro,4
video/Experiment/zh_sp01_Ad_We_1_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Ad,We,1
video/Experiment/zh_sp01_Ad_We_2_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Ad,We,2
video/Experiment/zh_sp07_Dr_We_3_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Dr,We,3
video/Experiment/zh_sp07_Ti_We_4_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ti,We,4
video/Experiment/zh_sp01_Ti_Ge_1_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Ti,Ge,1
video/Experiment/zh_sp07_Ti_Ge_2_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ti,Ge,2
video/Experiment/zh_sp07_Dr_Ge_3_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Dr,Ge,3
video/Experiment/zh_sp07_Ad_Ge_4_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ad,Ge,4
video/Experiment/zh_sp01_Un_Gr_1_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Un,Gr,1
video/Experiment/zh_sp07_Ad_Gr_2_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ad,Gr,2
video/Experiment/zh_sp07_Dr_Gr_3_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Dr,Gr,3
video/Experiment/zh_sp07_Ad_Gr_4_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ad,Gr,4
video/Experiment/zh_sp01_Ti_Ro_1_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Ti,Ro,1
video/Experiment/zh_sp01_Ad_Ro_2_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Ad,Ro,2
video/Experiment/zh_sp01_Dr_Ro_3_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Dr,Ro,3
video/Experiment/zh_sp01_Dr_Ro_4_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Dr,Ro,4
video/Experiment/zh_sp01_Un_We_1_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Un,We,1
video/Experiment/zh_sp01_Un_We_2_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Un,We,2
video/Experiment/zh_sp07_Ad_We_3_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ad,We,3
video/Experiment/zh_sp01_Un_We_4_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Un,We,4
