TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.01484060000802856,None,0.4786026000074344,None,0.9619339000055334,None,['return'],[0.8003001000033692],18.726573500003724,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[1.195176299996092],19.54375180000352,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[1.0922950000021956],20.760591600002954,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,0.010684950000722893,None,0.48764745000516996,None,0.9710434500011615,None,['return'],[0.5378105999989202],23.3269564000002,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.9371147999991081],23.893721300002653,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.9125647000037134],24.8602960000062,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,0.010762350000732113,None,0.4878081499991822,None,0.9545483499969123,None,['return'],[0.5141825999962748],27.228774100003648,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.847920799998974],27.760046900002635,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
