TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.009607080006389879,None,0.484683180009597,None,0.9679280800046399,None,['return'],[0.7055361999955494],22.9637073000049,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,['return'],[0.3678769999969518],23.690429500013124,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,['return'],[0.37678990000858903],24.09037510000053,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,0.0006213400047272444,None,0.46739033999620005,None,0.9508983400010038,None,['return'],[0.5612363999971421],25.94204080000054,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,['return'],[0.3277336000028299],26.523529600002803,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,['return'],[0.3136558999976842],26.873521100002108,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,0.0009024399769259617,None,0.4680039399827365,None,0.9514566399884643,None,['return'],[0.5651161999994656],28.658145900000818,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,['return'],[0.2692304999945918],29.24000960000558,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,['return'],[0.2762374000012642],29.539974600003916,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,0.0009225399844581261,None,0.4848535399796674,None,0.9678946399799315,None,['return'],[0.7039693999977317],31.29617900001176,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,['return'],[0.29605479999736417],32.02312860000529,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,['return'],[0.31142549999640323],32.33975420000206,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
