TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005262299964670092,None,0.4837248300027568,None,0.9505811300186906,None,"['q', 'return']","[0.005209900002228096, 1.4939188999996986]",17.61332870001206,None,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,"['q', 'return']","[0.47179440001491457, 0.8563299000088591]",19.130552600021474,None,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,"['q', 'return']","[0.22862850001547486, 0.3802010000217706]",20.014477200020337,None,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,0.01003212999785319,None,0.4867992300132755,None,0.9709670300071593,None,"['q', 'q', 'q', 'q', 'q', 'return']","[0.5120962000219151, 1.0245900000154506, 1.207782400015276, 1.3684153000067454, 1.5274588000029325, 1.711762600025395]",21.858507600001758,None,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,"['q', 'return']","[0.2736191999865696, 0.39421619998756796]",23.6009739000001,None,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,"['q', 'return']","[0.09661160001996905, 0.23241690002032556]",24.018154900026275,None,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,0.010396229976322502,None,0.4925689299707301,None,0.9551652299705893,None,"['num_4', 'return']","[2.5979993999935687, 2.820689099986339]",25.717482600011863,None,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,"['num_4', 'return']","[0.06000640001730062, 0.21167460002470762]",28.583171000005677,None,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,"['num_4', 'return']","[0.061792699998477474, 0.22158329997910187]",28.821597400004975,None,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,0,0,0,0,0.010182429978158325,None,0.48844662998453714,None,0.9713703299930785,None,"['num_4', 'q', 'return']","[1.132302999991225, 2.3080112999887206, 2.323932800005423]",30.518370900012087,None,1,001,2021_Oct_22_1658,eeg_contingent_digits,2021.2.3,59.8442612963685,
