TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.004186360019957647,None,0.47536956003750674,None,0.9593867600196972,None,"['num_4', 'return']","[1.3114047000126448, 1.440519800002221]",18.134086400008528,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.09505100001115352, 0.22947660001227632]",19.59272710001096,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.05782300001010299, 0.16850900001008995]",19.84457030001795,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,0.010234859975753352,None,0.4865640599746257,None,0.9776967599755153,None,"['num_4', 'return']","[0.4481696999864653, 0.5520655000000261]",21.501196099998197,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.06963649997487664, 0.22124409998650663]",22.088379499997245,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.06861580000258982],22.345102499995846,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,0.0008532600186299533,None,0.4930693600035738,None,0.9529130599985365,None,"['num_4', 'return']","[0.4202756999875419, 0.5480715000012424]",23.897628400009125,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.04613219999009743, 0.19715540000470355]",24.48017080000136,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.004619199986336753, 0.10850969998864457]",24.696569299994735,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,0.009977959998650476,None,0.4861330599815119,None,0.9540874600061215,None,"['num_4', 'return']","[0.34330529998987913, 0.43979219999164343]",26.270014600013383,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.08966399999917485, 0.19425619998946786]",26.731939799996326,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.05459809998865239, 0.10977059998549521]",26.959356800012756,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,0.010213559988187626,None,0.49145925999619067,None,0.9525157600000966,None,"['num_4', 'return']","[0.40546399998129345, 0.5497370999946725]",28.536225499992725,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.04039020001073368, 0.2000977999996394]",29.116972299991176,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1122544999816455],29.34961989999283,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,0.0010841600014828146,None,0.4862427600019146,None,0.9530213600082789,None,"['num_4', 'return']","[0.4275870000128634, 0.58804100000998]",30.945622700004606,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.03607550001470372, 0.1718014000216499]",31.569387600000482,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.004023599991342053, 0.11590179998893291]",31.769560599990655,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,0.0011531600030139089,None,0.4693083600141108,None,0.9534287599963136,None,"['num_4', 'return']","[0.5128383999981452, 0.6406222000077832]",33.3727557999955,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.057568499993067235, 0.18449370001326315]",34.03638669999782,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.10957639999105595],34.25654659999418,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,0.010422960011055693,None,0.49225936000584625,None,0.9720324600057211,None,"['num_4', 'return']","[0.5973855000047479, 0.8129138000076637]",35.84037740001804,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.060710999998264015, 0.16388259999803267]",36.67356709999149,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.029523100005462766, 0.5097750999848358]",36.88026959999115,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,0.015243820031173527,None,0.48041192002710886,None,0.9650490200438071,None,"['num_4', 'return']","[0.40407680001226254, 0.57958520000102]",38.881518500013044,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.11262030000216328, 0.24850359998526983]",39.493415200005984,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.029772000008961186, 0.14160820000688545]",39.77592899999581,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,,,,,,,,,,0.009702559997094795,None,0.4865392599895131,None,0.9699769600119907,None,"['num_4', 'return']","[0.5951742000179365, 0.7872781000041869]",41.38630519999424,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.22630760000902228],42.19532180001261,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.06760160002158955, 0.1705849000136368]",42.442487399996025,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1725,eeg_contingent_digits,2021.2.3,60.077596223148745,
