TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,NV_trial,Triggered_trial,Jitter_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text.started,text.stopped,text_calibration_repeat.started,text_calibration_repeat.stopped,text_break.started,text_break.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,Fixation_Play.started,Fixation_Play.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_nextblock.started,text_nextblock.stopped,response_nextblock.keys,response_nextblock.started,response_nextblock.stopped,response_nextblock.rt,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.014318120000098133,None,0.4951680200001647,None,0.9616263200005051,None,['return'],[0.8092523999994228],17.695265299999846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.1668240999997579],18.56169460000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.1830191000008199],18.76160710000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.978124000000207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,22.426816600000166,None,42.83582790000037,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
0.0,9.0,5.0,1.0,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,45.05155840000043,None,47.3340489000002,None,47.3340489000002,None,73.69075040000007,75.0901788000001,0.00852845000099478,None,0.4835269500008508,None,0.9666969500012783,None,['return'],[2.81190450000031],75.14014570000018,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
0.0,9.0,5.0,1.0,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.2429587000005995],77.98908650000067,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
0.0,9.0,5.0,1.0,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.19967439999982162],78.27234380000027,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
0.0,9.0,5.0,1.0,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
1.0,4.0,6.0,2.0,48.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,78.52220560000023,None,78.52220560000023,None,82.58756600000015,83.98679850000008,0.0060313500007396215,None,0.47857215000021824,None,0.9617010500005563,None,['return'],[1.4273721000008663],84.03666359999988,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
1.0,4.0,6.0,2.0,48.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1290856999994503],85.50288850000015,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
1.0,4.0,6.0,2.0,48.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.16252499999973224],85.66950020000058,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
1.0,4.0,6.0,2.0,48.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
2.0,2.0,8.0,9.0,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,85.8860837000002,None,85.8860837000002,None,107.34459820000029,108.74416030000066,0.006364640000356303,None,0.4792228400001477,None,0.9623909399997501,None,['return'],[1.357056900000316],108.81071940000038,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
2.0,2.0,8.0,9.0,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1575756000002002],110.21020899999985,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
2.0,2.0,8.0,9.0,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1656791000004887],110.41010770000048,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
2.0,2.0,8.0,9.0,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
3.0,9.0,4.0,1.0,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,110.62671030000001,None,110.62671030000001,None,116.7078588000004,118.10723969999981,0.001889350000055856,None,0.4869469499999468,None,0.9701769499997681,None,['return'],[1.762595600000168],118.15717140000015,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
3.0,9.0,4.0,1.0,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.17127500000060536],119.95642120000048,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
3.0,9.0,4.0,1.0,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1706014999999752],120.17307179999989,None,,,,,,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
3.0,9.0,4.0,1.0,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,1,001,2021_Nov_09_1053,eeg_contingent_digits,2021.2.3,60.00376823663302,
