TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,sound_digit_2_ME.started,sound_digit_2_ME.stopped,sound_digit_3_ME.started,sound_digit_3_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_5.started,text_5.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0030139900045469403,None,0.4908328900055494,None,0.9548104900168255,None,['return'],[0.5088214999996126],32.95156909999787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.21663219999754801],33.50315979999141,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.20769250000012107],33.75296869999147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00255889998516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,34.8197062999825,None,45.42093209997984,None,0.013811160024488345,None,0.4841296600061469,None,0.9675132600241341,None,46.83731369997258,47.85116739998921,"['1', 'return']","[0.6252024999994319, 0.7811724999919534]",48.28542969998671,None,48.28542969998671,None,48.28542969998671,None,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"['2', 'return']","[0.25973059999523684, 0.4143135999911465]",49.11010449999594,None,49.11010449999594,None,49.11010449999594,None,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,"['0', 'return']","[0.8497288000071421, 0.9899656000197865]",49.57187249997514,None,49.57187249997514,None,49.57187249997514,50.58451459999196,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.606772099999944,None,None,None,None,None,None,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,53.61744509998243,None,0.007401459995890036,None,0.48561535999760963,None,0.9691090599808376,None,55.72964849998243,56.73368649999611,"['0', 'return']","[0.392240999994101, 0.6778622999845538]",57.17746889998671,None,57.17746889998671,None,57.17746889998671,None,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"['8', 'return']","[0.29447029999573715, 0.4762881000060588]",57.904157299984945,None,57.904157299984945,None,57.904157299984945,None,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,"['3', 'return']","[0.5699397000134923, 0.7373891999886837]",58.420902299985755,None,58.420902299985755,None,58.420902299985755,None,,,,,,,,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.201467399980174,None,None,None,None,None,None,1,001,2021_Nov_15_1057,eeg_contingent_digits,2021.2.3,59.96821685088969,
