TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,NV_trial,Triggered_trial,Jitter_trial,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,sound_digit_2_ME.started,sound_digit_2_ME.stopped,sound_digit_3_ME.started,sound_digit_3_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,response_nextblock_ME.rt,text_break.started,text_break.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0026795899611897767,None,0.47441258997423574,None,0.9540327899740078,None,['return'],[0.5093056000187062],32.949343400017824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1635,eeg_contingent_digits,2021.2.3,59.98192144389128,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,['return'],[0.15985150000778958],33.49972409999464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1635,eeg_contingent_digits,2021.2.3,59.98192144389128,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,['return'],[0.14940729999216273],33.69807300000684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1635,eeg_contingent_digits,2021.2.3,59.98192144389128,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1635,eeg_contingent_digits,2021.2.3,59.98192144389128,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.880826300010085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_1635,eeg_contingent_digits,2021.2.3,59.98192144389128,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,34.81464799999958,None,36.671915300015826,None,0.015958649979438633,None,0.49937694997061044,None,0.9896197500056587,None,38.08671870001126,39.09683709999081,"['1', '2', '1', 'return']","[0.22555029997602105, 0.2994894999428652, 1.8681825999519788, 2.478174499992747]",39.55738780001411,None,39.55738780001411,None,39.55738780001411,40.56365269998787,,,,,,,,,,,,,1,001,2021_Nov_15_1635,eeg_contingent_digits,2021.2.3,59.98192144389128,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['2', 'return']","[1.3974268999882042, 1.5991777000017464]",42.08406000002287,None,42.08406000002287,None,42.08406000002287,43.09675090003293,,,,,,,,,,,,,1,001,2021_Nov_15_1635,eeg_contingent_digits,2021.2.3,59.98192144389128,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['0', 'return']","[0.6181695000268519, 0.7249634000472724]",43.73556609998923,None,43.73556609998923,None,43.73556609998923,None,,,,,,,,,,,,,1,001,2021_Nov_15_1635,eeg_contingent_digits,2021.2.3,59.98192144389128,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.51331280003069,None,44.51331280003069,None,None,None,None,None,None,,,,1,001,2021_Nov_15_1635,eeg_contingent_digits,2021.2.3,59.98192144389128,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,46.51285420003114,None,0.0054382599773816764,None,0.4833151599741541,None,0.9449558600317687,None,48.580028099997435,49.57924729998922,"['0', 'return']","[0.2297938999836333, 0.631117999961134]",50.01449810003396,None,50.01449810003396,None,50.01449810003396,None,,,,,,,,,,,,,1,001,2021_Nov_15_1635,eeg_contingent_digits,2021.2.3,59.98192144389128,
