TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.005050249998021172,None,['return'],[0.37823999999818625],17.642810099998314,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
1.0,1.0,9.0,3.0,13.0,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,0.0007084500030032359,None,['return'],[0.34616530000130297],18.58787019999727,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
1.0,1.0,9.0,3.0,13.0,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
2.0,8.0,0.0,1.0,21.0,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,0.00013654999929713085,None,['return'],[0.09653169999728561],19.48049379999793,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
2.0,8.0,0.0,1.0,21.0,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
3.0,9.0,6.0,1.0,61.0,,,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,0.016620900001726113,None,['return'],[0.11902310000004945],20.114020199998777,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
3.0,9.0,6.0,1.0,61.0,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
4.0,8.0,1.0,5.0,7.0,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,0.016490699999849312,None,['return'],[0.0669956000019738],20.78819199999998,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
4.0,8.0,1.0,5.0,7.0,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
5.0,4.0,1.0,0.0,33.0,,,,,,,,,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,0.016275499998300802,None,['return'],[0.16689949999999953],21.39706429999933,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
5.0,4.0,1.0,0.0,33.0,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
6.0,9.0,2.0,6.0,13.0,,,,,,,,,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,0.01656860000366578,None,['return'],[0.09780239999963669],22.117206499999156,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
6.0,9.0,2.0,6.0,13.0,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
7.0,2.0,3.0,0.0,10.0,,,,,,,,,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,0.016023000000132015,None,['return'],[0.043677999998180894],22.765440099999978,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
7.0,2.0,3.0,0.0,10.0,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1713,eeg_contingent_digits,2021.2.3,59.92089243883716,
