TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.0023432199959643185,None,0.48888881999300793,None,0.9545282199978828,None,['return'],[3.348244500004512],21.375286700000288,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[2.1361316999973496],24.740767199997208,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.14153559999977006],26.906505599996308,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0.0062953600063337944,None,0.4627958600030979,None,0.9622166600092896,None,None,,28.506626959997085,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[2.5833760000023176],28.50975749999634,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.1308024999962072],31.123569899995346,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,0.0073184600041713566,None,0.48540876001061406,None,0.9476693600081489,None,None,,32.70639815999821,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[1.957464400002209],32.710548399998515,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.14021489999868209],34.68990269999631,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,0.009385659999679774,None,0.485720559998299,None,0.9684737600036897,None,None,,36.30609255999807,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.156283500000427],36.30647499999759,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.15530069999658735],36.48982609999803,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0.006938760001503397,None,0.4638225599992438,None,0.963708460003545,None,None,,38.12261566000016,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.2595971999980975],38.128324299999804,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.15908260000287555],38.406134799995925,None,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1207,eeg_contingent_digits,2021.2.3,60.023541233067384,
