TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.011322939972160384,None,0.4726442399842199,None,0.9572408399835695,None,"['num_4', 'return']","[0.5379336000187322, 0.6737896999984514]",18.32275260001188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1643,eeg_contingent_digits,2021.2.3,60.370432968567115,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.10772560001350939, 0.23622720001731068]",19.0158783000079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1643,eeg_contingent_digits,2021.2.3,60.370432968567115,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.10522599998512305, 0.18498839999665506]",19.282657700008713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1643,eeg_contingent_digits,2021.2.3,60.370432968567115,
0.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1643,eeg_contingent_digits,2021.2.3,60.370432968567115,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,0.0005607699858956039,None,0.48302506998879835,None,0.9677240700111724,None,"['num_4', 'return']","[0.4124780000129249, 0.5168425000156276]",20.967645700002322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1643,eeg_contingent_digits,2021.2.3,60.370432968567115,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.07744990001083352, 0.17159760001231916]",21.520231900009094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1643,eeg_contingent_digits,2021.2.3,60.370432968567115,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.07050070000695996, 0.14961449999827892]",21.717853300011484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1643,eeg_contingent_digits,2021.2.3,60.370432968567115,
1.0,1.0,9.0,3.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1643,eeg_contingent_digits,2021.2.3,60.370432968567115,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,0.000688269967213273,None,0.48516726997331716,None,0.9522415699902922,None,"['num_4', 'return']","[0.2745895000116434, 0.38621530000818893]",23.353565500001423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1643,eeg_contingent_digits,2021.2.3,60.370432968567115,
2.0,8.0,0.0,1.0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.063353300007293, 0.184530900005484]",23.780252500000643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_22_1643,eeg_contingent_digits,2021.2.3,60.370432968567115,
