TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,NV_trial,Triggered_trial,Jitter_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text.started,text.stopped,text_calibration_repeat.started,text_calibration_repeat.stopped,text_break.started,text_break.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,Fixation_Play.started,Fixation_Play.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_nextblock.started,text_nextblock.stopped,response_nextblock.keys,response_nextblock.started,response_nextblock.stopped,response_nextblock.rt,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.013320940000994597,None,0.493199939999613,None,0.9763852399992174,None,"['num_6', 'return']","[1.6709073999991233, 2.3828939000013634]",144.06239460000143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,"['num_2', 'return']","[0.49515210000026855, 0.9431302000011783]",146.47813640000095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,"['num_4', 'return']","[0.42411920000085956, 0.8641012999978557]",147.46116830000028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
0.0,6.0,2.0,4.0,33.0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
1.0,1.0,9.0,3.0,13.0,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0.006128140001237625,None,0.47882834000120056,None,0.9619659400013916,None,"['num_1', 'return']","[1.38635499999873, 1.970315300000948]",149.82692650000172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
1.0,1.0,9.0,3.0,13.0,,,,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,"['num_9', 'return']","[0.4105143000015232, 0.8584764000006544]",151.8427761999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
1.0,1.0,9.0,3.0,13.0,,,,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,"['num_3', 'return']","[0.41484260000288486, 0.8708063000012771]",152.74241560000155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
1.0,1.0,9.0,3.0,13.0,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
2.0,8.0,0.0,1.0,21.0,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,0.012351539997325744,None,0.4912361399947258,None,0.9744660399956047,None,"['num_8', 'return']","[1.0876697999992757, 1.4796951999996963]",155.14153090000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
2.0,8.0,0.0,1.0,21.0,,,,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,"['num_0', 'return']","[0.9475866000029782, 1.3316150999999081]",156.657598400001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
2.0,8.0,0.0,1.0,21.0,,,,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,"['num_1', 'return']","[0.7413919999999052, 1.0854263999972318]",158.02379040000233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
2.0,8.0,0.0,1.0,21.0,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,0.007910840002296027,None,0.48234334000153467,None,0.9488814400028787,None,"['num_9', 'return']","[0.4223712000020896, 0.926416700000118]",160.62279620000118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
